"Accession.New","MouseGeneName","Description","Sample1","Sample2","Sample3","Sample4","Sample5","Accession.Number.ori","Accession.Number"
"K2C8_MOUSE","Krt8","Keratin, type II cytoskeletal 8 OS=Mus musculus OX=10090 GN=Krt8 PE=1 SV=4",28,28,23,29,28,"K2C8_MOUSE","K2C8_MOUSE"
"PPIA_MOUSE","Ppia","Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus OX=10090 GN=Ppia PE=1 SV=2",10,11,10,10,10,"PPIA_MOUSE","PPIA_MOUSE"
"GELS_MOUSE","Gsn","Isoform 2 of Gelsolin OS=Mus musculus OX=10090 GN=Gsn",21,24,23,24,26,"sp|P13020-2|GELS_MOUSE","GELS_MOUSE"
"VINC_MOUSE","Vcl","Vinculin OS=Mus musculus OX=10090 GN=Vcl PE=1 SV=4",53,49,36,49,52,"VINC_MOUSE","VINC_MOUSE"
"K1C18_MOUSE","Krt18","Keratin, type I cytoskeletal 18 OS=Mus musculus OX=10090 GN=Krt18 PE=1 SV=5",29,27,18,29,27,"K1C18_MOUSE","K1C18_MOUSE"
"SPTN1_MOUSE","Sptan1","Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptan1 PE=1 SV=4",77,59,47,76,77,"sp|P16546|SPTN1_MOUSE","SPTN1_MOUSE"
"CAH2_MOUSE","Ca2","Carbonic anhydrase 2 OS=Mus musculus OX=10090 GN=Ca2 PE=1 SV=4",13,13,11,13,12,"CAH2_MOUSE","CAH2_MOUSE"
"CEAM5_MOUSE","Ceacam5","Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Mus musculus OX=10090 GN=Ceacam5 PE=2 SV=1",31,27,19,28,25,"CEAM5_MOUSE","CEAM5_MOUSE"
"ENPL_MOUSE","Hsp90b1","Endoplasmin OS=Mus musculus OX=10090 GN=Hsp90b1 PE=1 SV=2",32,37,23,30,30,"ENPL_MOUSE","ENPL_MOUSE"
"PLEC_MOUSE","Plec","Isoform PLEC-1 of Plectin OS=Mus musculus OX=10090 GN=Plec",70,46,23,67,62,"sp|Q9QXS1-2|PLEC_MOUSE","PLEC_MOUSE"
"NID1_MOUSE","Nid1","Nidogen-1 OS=Mus musculus OX=10090 GN=Nid1 PE=1 SV=2",34,33,28,36,35,"NID1_MOUSE","NID1_MOUSE"
"1433E_MOUSE","Ywhae","14-3-3 protein epsilon OS=Mus musculus OX=10090 GN=Ywhae PE=1 SV=1",22,20,18,20,22,"1433E_MOUSE","1433E_MOUSE"
"HBE_MOUSE","Hbb-y","Hemoglobin subunit epsilon-Y2 OS=Mus musculus OX=10090 GN=Hbb-y PE=1 SV=2",10,11,10,11,11,"HBE_MOUSE","HBE_MOUSE"
"TERA_MOUSE","Vcp","Transitional endoplasmic reticulum ATPase OS=Mus musculus OX=10090 GN=Vcp PE=1 SV=4",36,31,31,39,37,"TERA_MOUSE","TERA_MOUSE"
"A0A1B0GSX0_MOUSE","Ldha","L-lactate dehydrogenase OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=1",20,20,17,21,20,"A0A1B0GSX0_MOUSE (+1)","A0A1B0GSX0_MOUSE"
"F8VQJ3_MOUSE","Lamc1","Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=1",48,34,38,41,43,"F8VQJ3_MOUSE","F8VQJ3_MOUSE"
"INHBA_MOUSE","Inhba","Inhibin beta A chain OS=Mus musculus OX=10090 GN=Inhba PE=1 SV=1",21,18,21,24,22,"INHBA_MOUSE","INHBA_MOUSE"
"KPYM_MOUSE","Pkm","Pyruvate kinase PKM OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=4",28,30,27,30,27,"sp|P52480|KPYM_MOUSE","KPYM_MOUSE"
"EF2_MOUSE","Eef2","Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2",36,31,30,33,36,"EF2_MOUSE","EF2_MOUSE"
"A0A1L1SSH9_MOUSE","Sparc","SPARC OS=Mus musculus OX=10090 GN=Sparc PE=1 SV=1",15,12,12,16,14,"A0A1L1SSH9_MOUSE (+2)","A0A1L1SSH9_MOUSE"
"TLN1_MOUSE","Tln1","Talin-1 OS=Mus musculus OX=10090 GN=Tln1 PE=1 SV=2",61,43,26,60,55,"TLN1_MOUSE","TLN1_MOUSE"
"VIME_MOUSE","Vim","Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=3",29,24,22,27,25,"VIME_MOUSE","VIME_MOUSE"
"PR3B1_MOUSE","Prl3b1","Prolactin-3B1 OS=Mus musculus OX=10090 GN=Prl3b1 PE=1 SV=1",11,10,8,10,9,"PR3B1_MOUSE","PR3B1_MOUSE"
"CLH1_MOUSE","Cltc","Clathrin heavy chain 1 OS=Mus musculus OX=10090 GN=Cltc PE=1 SV=3",56,41,33,52,53,"CLH1_MOUSE (+1)","CLH1_MOUSE"
"CATB_MOUSE","Ctsb","Cathepsin B OS=Mus musculus OX=10090 GN=Ctsb PE=1 SV=2",15,14,15,16,15,"CATB_MOUSE","CATB_MOUSE"
"TRFE_MOUSE","Tf","Serotransferrin OS=Mus musculus OX=10090 GN=Tf PE=1 SV=1",39,18,27,36,40,"TRFE_MOUSE","TRFE_MOUSE"
"E9QN70_MOUSE","Lamb1","Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=1",44,32,31,41,38,"E9QN70_MOUSE (+1)","E9QN70_MOUSE"
"E9PZ00_MOUSE","Psap","Prosaposin OS=Mus musculus OX=10090 GN=Psap PE=1 SV=1",24,23,21,23,23,"E9PZ00_MOUSE (+1)","E9PZ00_MOUSE"
"HBAZ_MOUSE","Hbz","Hemoglobin subunit zeta OS=Mus musculus OX=10090 GN=Hbz PE=2 SV=2",10,10,10,10,10,"HBAZ_MOUSE","HBAZ_MOUSE"
"A0A0R4J0A4_MOUSE","Flt1","Vascular endothelial growth factor receptor 1 OS=Mus musculus OX=10090 GN=Flt1 PE=1 SV=1",32,28,11,30,30,"A0A0R4J0A4_MOUSE (+1)","A0A0R4J0A4_MOUSE"
"LAMA1_MOUSE","Lama1","Laminin subunit alpha-1 OS=Mus musculus OX=10090 GN=Lama1 PE=1 SV=1",44,33,36,38,43,"F8VQ40_MOUSE","F8VQ40_MOUSE"
"PR2C2_MOUSE","Prl2c2","Prolactin-2C2 OS=Mus musculus OX=10090 GN=Prl2c2 PE=1 SV=1",13,12,9,11,11,"sp|P04095|PR2C2_MOUSE","PR2C2_MOUSE"
"A0A1D5RLD8_MOUSE","Gm10358","Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gm10358 PE=1 SV=1",15,14,10,13,14,"A0A1D5RLD8_MOUSE","A0A1D5RLD8_MOUSE"
"PGS2_MOUSE","Dcn","Decorin OS=Mus musculus OX=10090 GN=Dcn PE=1 SV=1",16,14,16,15,16,"PGS2_MOUSE","PGS2_MOUSE"
"PRDX1_MOUSE","Prdx1","Peroxiredoxin-1 OS=Mus musculus OX=10090 GN=Prdx1 PE=1 SV=1",12,12,13,12,12,"PRDX1_MOUSE","PRDX1_MOUSE"
"ENOA_MOUSE","Eno1","Alpha-enolase OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=3",22,21,20,22,21,"ENOA_MOUSE","ENOA_MOUSE"
"IQGA1_MOUSE","Iqgap1","Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus OX=10090 GN=Iqgap1 PE=1 SV=2",43,38,30,49,40,"IQGA1_MOUSE","IQGA1_MOUSE"
"E9PWQ3_MOUSE","Col6a3","Collagen, type VI, alpha 3 OS=Mus musculus OX=10090 GN=Col6a3 PE=1 SV=2",49,39,29,66,53,"E9PWQ3_MOUSE","E9PWQ3_MOUSE"
"CATL1_MOUSE","Ctsl","Cathepsin L1 OS=Mus musculus OX=10090 GN=Ctsl PE=1 SV=2",12,11,11,13,12,"CATL1_MOUSE","CATL1_MOUSE"
"LMNA_MOUSE","Lmna","Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2",27,28,22,31,30,"sp|P48678|LMNA_MOUSE","LMNA_MOUSE"
"PGK1_MOUSE","Pgk1","Phosphoglycerate kinase 1 OS=Mus musculus OX=10090 GN=Pgk1 PE=1 SV=4",19,18,20,20,21,"PGK1_MOUSE","PGK1_MOUSE"
"Q80YQ1_MOUSE","Thbs1","Thrombospondin-1 OS=Mus musculus OX=10090 GN=Thbs1 PE=1 SV=1",25,24,21,30,27,"Q80YQ1_MOUSE","Q80YQ1_MOUSE"
"FLNC_MOUSE","Flnc","Isoform 2 of Filamin-C OS=Mus musculus OX=10090 GN=Flnc",52,38,33,45,47,"sp|Q8VHX6-2|FLNC_MOUSE (+1)","FLNC_MOUSE"
"TENA_MOUSE","Tnc","Isoform 2 of Tenascin OS=Mus musculus OX=10090 GN=Tnc",45,25,28,44,42,"sp|Q80YX1-2|TENA_MOUSE","TENA_MOUSE"
"PR7A2_MOUSE","Prl7a2","Prolactin-7A2 OS=Mus musculus OX=10090 GN=Prl7a2 PE=2 SV=1",9,8,6,9,9,"PR7A2_MOUSE","PR7A2_MOUSE"
"GDIB_MOUSE","Gdi2","Rab GDP dissociation inhibitor beta OS=Mus musculus OX=10090 GN=Gdi2 PE=1 SV=1",30,28,27,29,30,"sp|Q61598|GDIB_MOUSE","GDIB_MOUSE"
"SPTB2_MOUSE","Sptbn1","Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptbn1 PE=1 SV=2",43,34,22,55,45,"sp|Q62261|SPTB2_MOUSE","SPTB2_MOUSE"
"PPIB_MOUSE","Ppib","Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus OX=10090 GN=Ppib PE=1 SV=2",12,12,12,12,12,"PPIB_MOUSE","PPIB_MOUSE"
"A0A0R4J0V8_MOUSE","Ctsj","Cathepsin J OS=Mus musculus OX=10090 GN=Ctsj PE=1 SV=1",17,10,13,16,16,"A0A0R4J0V8_MOUSE (+1)","A0A0R4J0V8_MOUSE"
"A0A0R4J0Z1_MOUSE","Pdia4","Protein disulfide-isomerase A4 OS=Mus musculus OX=10090 GN=Pdia4 PE=1 SV=1",26,31,16,25,25,"A0A0R4J0Z1_MOUSE (+1)","A0A0R4J0Z1_MOUSE"
"LAMA5_MOUSE","Lama5","Laminin subunit alpha-5 OS=Mus musculus OX=10090 GN=Lama5 PE=1 SV=4",43,31,34,34,36,"LAMA5_MOUSE","LAMA5_MOUSE"
"ACTN1_MOUSE","Actn1","Alpha-actinin-1 OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1",25,31,25,34,28,"ACTN1_MOUSE","ACTN1_MOUSE"
"B2MG_MOUSE","B2m","Beta-2-microglobulin OS=Mus musculus OX=10090 GN=B2m PE=1 SV=2",5,5,6,6,6,"B2MG_MOUSE","B2MG_MOUSE"
"EF1A1_MOUSE","Eef1a1","Elongation factor 1-alpha 1 OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=3",14,12,11,15,13,"EF1A1_MOUSE","EF1A1_MOUSE"
"SAMH1_MOUSE","Samhd1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Mus musculus OX=10090 GN=Samhd1 PE=1 SV=1",28,26,22,28,27,"F8WJE0_MOUSE (+1)","F8WJE0_MOUSE"
"ALBU_MOUSE","Alb","Serum albumin OS=Mus musculus OX=10090 GN=Alb PE=1 SV=3",21,16,20,25,20,"ALBU_MOUSE","ALBU_MOUSE"
"G6PI_MOUSE","Gpi","Glucose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Gpi PE=1 SV=4",23,21,19,17,20,"G6PI_MOUSE","G6PI_MOUSE"
"WDR1_MOUSE","Wdr1","WD repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Wdr1 PE=1 SV=3",27,20,21,24,25,"WDR1_MOUSE","WDR1_MOUSE"
"ADA_MOUSE","Ada","Adenosine deaminase OS=Mus musculus OX=10090 GN=Ada PE=1 SV=3",19,19,17,18,19,"ADA_MOUSE","ADA_MOUSE"
"1433Z_MOUSE","Ywhaz","14-3-3 protein zeta/delta OS=Mus musculus OX=10090 GN=Ywhaz PE=1 SV=1",16,14,15,13,13,"1433Z_MOUSE","1433Z_MOUSE"
"CO1A1_MOUSE","Col1a1","Isoform 2 of Collagen alpha-1(I) chain OS=Mus musculus OX=10090 GN=Col1a1",14,13,13,14,13,"sp|P11087-2|CO1A1_MOUSE (+1)","CO1A1_MOUSE"
"PR8A9_MOUSE","Prl8a9","Prolactin-8A9 OS=Mus musculus OX=10090 GN=Prl8a9 PE=2 SV=1",9,9,6,8,8,"PR8A9_MOUSE","PR8A9_MOUSE"
"Q543K9_MOUSE","Pnp","Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp PE=1 SV=1",15,15,13,15,15,"Q543K9_MOUSE","Q543K9_MOUSE"
"SERPH_MOUSE","Serpinh1","Serpin H1 OS=Mus musculus OX=10090 GN=Serpinh1 PE=1 SV=3",19,18,17,20,19,"SERPH_MOUSE","SERPH_MOUSE"
"TPM3_MOUSE","Tpm3","Isoform 2 of Tropomyosin alpha-3 chain OS=Mus musculus OX=10090 GN=Tpm3",15,15,15,16,16,"sp|P21107-2|TPM3_MOUSE","TPM3_MOUSE"
"LAMB2_MOUSE","Lamb2","Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2",35,21,25,26,28,"LAMB2_MOUSE","LAMB2_MOUSE"
"ROA2_MOUSE","Hnrnpa2b1","Isoform 2 of Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus OX=10090 GN=Hnrnpa2b1",17,16,19,17,19,"sp|O88569-2|ROA2_MOUSE (+2)","ROA2_MOUSE"
"Q8CBB6_MOUSE","Hist1h2bq","Histone H2B OS=Mus musculus OX=10090 GN=Hist1h2bq PE=2 SV=1",7,6,6,8,6,"Q8CBB6_MOUSE","Q8CBB6_MOUSE"
"PGAM1_MOUSE","Pgam1","Phosphoglycerate mutase 1 OS=Mus musculus OX=10090 GN=Pgam1 PE=1 SV=3",15,15,13,14,14,"PGAM1_MOUSE","PGAM1_MOUSE"
"K1C19_MOUSE","Krt19","Keratin, type I cytoskeletal 19 OS=Mus musculus OX=10090 GN=Krt19 PE=1 SV=1",21,18,14,18,20,"K1C19_MOUSE","K1C19_MOUSE"
"PR7D1_MOUSE","Prl7d1","Prolactin-7D1 OS=Mus musculus OX=10090 GN=Prl7d1 PE=2 SV=1",15,12,12,14,15,"PR7D1_MOUSE (+1)","PR7D1_MOUSE"
"E9PZF0_MOUSE","Gm20390","Nucleoside diphosphate kinase OS=Mus musculus OX=10090 GN=Gm20390 PE=3 SV=1",14,12,13,13,15,"E9PZF0_MOUSE","E9PZF0_MOUSE"
"DPYL2_MOUSE","Dpysl2","Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2",24,21,15,22,21,"DPYL2_MOUSE","DPYL2_MOUSE"
"PLSL_MOUSE","Lcp1","Plastin-2 OS=Mus musculus OX=10090 GN=Lcp1 PE=1 SV=4",34,25,25,31,29,"PLSL_MOUSE","PLSL_MOUSE"
"Q9D0Z8_MOUSE","Ceacam11","CEA-related cell adhesion molecule 11 OS=Mus musculus OX=10090 GN=Ceacam11 PE=1 SV=1",10,10,10,10,11,"Q9D0Z8_MOUSE","Q9D0Z8_MOUSE"
"Q6GT24_MOUSE","Prdx6","Peroxiredoxin-6 OS=Mus musculus OX=10090 GN=Prdx6 PE=1 SV=1",15,15,16,15,16,"Q6GT24_MOUSE","Q6GT24_MOUSE"
"A0A1B0GR11_MOUSE","Taldo1","Transaldolase OS=Mus musculus OX=10090 GN=Taldo1 PE=1 SV=1",16,16,16,15,14,"A0A1B0GR11_MOUSE (+1)","A0A1B0GR11_MOUSE"
"TBB5_MOUSE","Tubb5","Tubulin beta-5 chain OS=Mus musculus OX=10090 GN=Tubb5 PE=1 SV=1",22,16,18,20,23,"TBB5_MOUSE","TBB5_MOUSE"
"MDHM_MOUSE","Mdh2","Malate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Mdh2 PE=1 SV=3",15,15,15,15,15,"MDHM_MOUSE","MDHM_MOUSE"
"TKT_MOUSE","Tkt","Transketolase OS=Mus musculus OX=10090 GN=Tkt PE=1 SV=1",27,24,17,24,23,"TKT_MOUSE","TKT_MOUSE"
"CATD_MOUSE","Ctsd","Cathepsin D OS=Mus musculus OX=10090 GN=Ctsd PE=1 SV=1",17,16,17,16,15,"CATD_MOUSE","CATD_MOUSE"
"GANAB_MOUSE","Ganab","Neutral alpha-glucosidase AB OS=Mus musculus OX=10090 GN=Ganab PE=1 SV=1",31,27,22,28,29,"sp|Q8BHN3|GANAB_MOUSE","GANAB_MOUSE"
"PR7B1_MOUSE","Prl7b1","Prolactin-7B1 OS=Mus musculus OX=10090 GN=Prl7b1 PE=2 SV=2",8,6,6,6,8,"PR7B1_MOUSE","PR7B1_MOUSE"
"Q3TML0_MOUSE","Pdia6","Protein disulfide-isomerase A6 OS=Mus musculus OX=10090 GN=Pdia6 PE=1 SV=1",14,16,9,14,15,"Q3TML0_MOUSE","Q3TML0_MOUSE"
"A2MG_MOUSE","A2m","Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2",25,20,22,25,30,"A2MG_MOUSE","A2MG_MOUSE"
"CTL2A_MOUSE","Ctla2a","Protein CTLA-2-alpha OS=Mus musculus OX=10090 GN=Ctla2a PE=2 SV=2",9,9,9,9,10,"CTL2A_MOUSE","CTL2A_MOUSE"
"TBA1C_MOUSE","Tuba1c","Tubulin alpha-1C chain OS=Mus musculus OX=10090 GN=Tuba1c PE=1 SV=1",16,15,14,15,15,"TBA1C_MOUSE","TBA1C_MOUSE"
"COF1_MOUSE","Cfl1","Cofilin-1 OS=Mus musculus OX=10090 GN=Cfl1 PE=1 SV=3",15,15,13,16,16,"COF1_MOUSE","COF1_MOUSE"
"TSP2_MOUSE","Thbs2","Thrombospondin-2 OS=Mus musculus OX=10090 GN=Thbs2 PE=1 SV=2",24,23,16,28,21,"TSP2_MOUSE","TSP2_MOUSE"
"HS90A_MOUSE","Hsp90aa1","Heat shock protein HSP 90-alpha OS=Mus musculus OX=10090 GN=Hsp90aa1 PE=1 SV=4",17,17,14,13,18,"HS90A_MOUSE","HS90A_MOUSE"
"Q8VHQ1_MOUSE","Serpinb9g","MCG118061 OS=Mus musculus OX=10090 GN=Serpinb9g PE=2 SV=1",17,12,10,15,14,"Q8VHQ1_MOUSE","Q8VHQ1_MOUSE"
"PR2C5_MOUSE","Prl2c5","Isoform 2 of Prolactin-2C5 OS=Mus musculus OX=10090 GN=Prl2c5",9,8,8,9,10,"sp|Q9JLV9-2|PR2C5_MOUSE (+1)","PR2C5_MOUSE"
"TAGL2_MOUSE","Tagln2","Transgelin-2 OS=Mus musculus OX=10090 GN=Tagln2 PE=1 SV=4",15,13,13,15,13,"TAGL2_MOUSE","TAGL2_MOUSE"
"CBPE_MOUSE","Cpe","Carboxypeptidase E OS=Mus musculus OX=10090 GN=Cpe PE=1 SV=2",18,14,14,18,18,"CBPE_MOUSE","CBPE_MOUSE"
"O35258_MOUSE","Prl8a2","Decidual/trophoblast prolactin-related protein OS=Mus musculus OX=10090 GN=Prl8a2 PE=1 SV=1",9,7,8,8,8,"O35258_MOUSE (+1)","O35258_MOUSE"
"LG3BP_MOUSE","Lgals3bp","Galectin-3-binding protein OS=Mus musculus OX=10090 GN=Lgals3bp PE=1 SV=1",16,17,17,20,15,"LG3BP_MOUSE","LG3BP_MOUSE"
"Q3UKP4_MOUSE","Ceacam12","Carcinoembryonic antigen-related cell adhesion molecule 12 OS=Mus musculus OX=10090 GN=Ceacam12 PE=2 SV=1",10,7,6,9,10,"Q3UKP4_MOUSE","Q3UKP4_MOUSE"
"TPIS_MOUSE","Tpi1","Triosephosphate isomerase OS=Mus musculus OX=10090 GN=Tpi1 PE=1 SV=4",12,12,12,13,12,"TPIS_MOUSE","TPIS_MOUSE"
"Q497W2_MOUSE","Psg27","Pregnancy-specific glycoprotein 27 OS=Mus musculus OX=10090 GN=Psg27 PE=1 SV=1",15,15,13,14,15,"Q497W2_MOUSE","Q497W2_MOUSE"
"Q9DAV6_MOUSE","Serpinb9b","R86 OS=Mus musculus OX=10090 GN=Serpinb9b PE=1 SV=1",17,14,14,18,19,"Q9DAV6_MOUSE","Q9DAV6_MOUSE"
"PRDX2_MOUSE","Prdx2","Peroxiredoxin-2 OS=Mus musculus OX=10090 GN=Prdx2 PE=1 SV=3",10,11,9,9,10,"PRDX2_MOUSE","PRDX2_MOUSE"
"PROF1_MOUSE","Pfn1","Profilin-1 OS=Mus musculus OX=10090 GN=Pfn1 PE=1 SV=2",10,9,10,10,10,"PROF1_MOUSE","PROF1_MOUSE"
"CCN2_MOUSE","Ctgf","Connective tissue growth factor OS=Mus musculus OX=10090 GN=Ctgf PE=2 SV=3",16,14,16,17,17,"CTGF_MOUSE","CTGF_MOUSE"
"NAMPT_MOUSE","Nampt","Nicotinamide phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Nampt PE=1 SV=1",21,17,14,18,18,"NAMPT_MOUSE","NAMPT_MOUSE"
"HARS1_MOUSE","Hars","Histidine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Hars PE=1 SV=2",11,11,7,11,11,"SYHC_MOUSE","SYHC_MOUSE"
"TPM4_MOUSE","Tpm4","Tropomyosin alpha-4 chain OS=Mus musculus OX=10090 GN=Tpm4 PE=1 SV=3",16,15,14,13,15,"TPM4_MOUSE","TPM4_MOUSE"
"Q9CPX4_MOUSE","Ftl1","Ferritin OS=Mus musculus OX=10090 GN=Ftl1 PE=1 SV=1",11,13,10,11,10,"Q9CPX4_MOUSE","Q9CPX4_MOUSE"
"F8WH23_MOUSE","Igfbp7","Insulin-like growth factor-binding protein 7 OS=Mus musculus OX=10090 GN=Igfbp7 PE=1 SV=1",15,15,15,13,16,"F8WH23_MOUSE (+1)","F8WH23_MOUSE"
"Q3U2G2_MOUSE","Hspa4","Heat shock 70 kDa protein 4 OS=Mus musculus OX=10090 GN=Hspa4 PE=1 SV=1",21,19,16,26,23,"Q3U2G2_MOUSE","Q3U2G2_MOUSE"
"LEG3_MOUSE","Lgals3","Galectin-3 OS=Mus musculus OX=10090 GN=Lgals3 PE=1 SV=3",9,8,7,9,8,"LEG3_MOUSE (+1)","LEG3_MOUSE"
"HYOU1_MOUSE","Hyou1","Hypoxia up-regulated protein 1 OS=Mus musculus OX=10090 GN=Hyou1 PE=1 SV=1",27,21,13,26,23,"HYOU1_MOUSE","HYOU1_MOUSE"
"TEST2_MOUSE",NA,"Testin-2 OS=Mus musculus OX=10090 PE=2 SV=1",13,10,12,13,12,"TEST2_MOUSE","TEST2_MOUSE"
"H4_MOUSE","Hist1h4a","Histone H4 OS=Mus musculus OX=10090 GN=Hist1h4a PE=1 SV=2",8,7,7,7,9,"H4_MOUSE","H4_MOUSE"
"Q78Y72_MOUSE","Ceacam14","CEA-related cell adhesion molecule 14 OS=Mus musculus OX=10090 GN=Ceacam14 PE=1 SV=1",10,9,6,9,8,"Q78Y72_MOUSE","Q78Y72_MOUSE"
"TGM2_MOUSE","Tgm2","Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus OX=10090 GN=Tgm2 PE=1 SV=4",21,21,14,21,19,"TGM2_MOUSE","TGM2_MOUSE"
