"Accession.New","MouseGeneName","Description","Sample1","Sample2","Sample3","Sample4","Sample5","Accession.Number.ori","Accession.Number","ProteinID"
"ECP1_MOUSE","Ear1","Eosinophil cationic protein 1 OS=Mus musculus OX=10090 GN=Ear1 PE=2 SV=1",2,2,2,2,0,"ECP1_MOUSE","ECP1_MOUSE","P97426"
"ECP2_MOUSE","Ear2","Eosinophil cationic protein 2 OS=Mus musculus OX=10090 GN=Ear2 PE=2 SV=1",2,2,2,2,2,"ECP2_MOUSE","ECP2_MOUSE","P97425"
"F6YVP7_MOUSE","Gm10260","Predicted gene 10260 OS=Mus musculus OX=10090 GN=Gm10260 PE=3 SV=2",5,3,3,6,7,"F6YVP7_MOUSE (+1)","F6YVP7_MOUSE","F6YVP7"
"PZP_MOUSE","Pzp","Pregnancy zone protein OS=Mus musculus OX=10090 GN=Pzp PE=1 SV=3",2,2,2,2,0,"PZP_MOUSE","PZP_MOUSE","Q61838"
"Q3UKP4_MOUSE","Ceacam12","Carcinoembryonic antigen-related cell adhesion molecule 12 OS=Mus musculus OX=10090 GN=Ceacam12 PE=2 SV=1",10,7,6,9,10,"Q3UKP4_MOUSE","Q3UKP4_MOUSE","Q3UKP4"
"Q3URN6_MOUSE","Psg29","Pregnancy-specific glycoprotein 29 OS=Mus musculus OX=10090 GN=Psg29 PE=2 SV=1",12,9,3,11,11,"Q3URN6_MOUSE","Q3URN6_MOUSE","Q3URN6"
"Q497W1_MOUSE","Psg25","Pregnancy-specific glycoprotein 25 OS=Mus musculus OX=10090 GN=Psg25 PE=2 SV=1",7,2,0,3,3,"Q497W1_MOUSE","Q497W1_MOUSE","Q497W1"
"Q497W2_MOUSE","Psg27","Pregnancy-specific glycoprotein 27 OS=Mus musculus OX=10090 GN=Psg27 PE=1 SV=1",15,15,13,14,15,"Q497W2_MOUSE","Q497W2_MOUSE","Q497W2"
"Q4KL31_MOUSE","Psg19","MCG1255, isoform CRA_b OS=Mus musculus OX=10090 GN=Psg19 PE=2 SV=1",11,11,8,10,12,"Q4KL31_MOUSE","Q4KL31_MOUSE","Q4KL31"
"Q4KL66_MOUSE","Psg28","Pregnancy-specific glycoprotein 28 OS=Mus musculus OX=10090 GN=Psg28 PE=2 SV=1",10,10,4,10,10,"Q4KL66_MOUSE","Q4KL66_MOUSE","Q4KL66"
"Q62056_MOUSE","Psg17","MCG130054 OS=Mus musculus OX=10090 GN=Psg17 PE=1 SV=1",4,3,2,3,4,"Q62056_MOUSE","Q62056_MOUSE","Q62056"
"Q78Y72_MOUSE","Ceacam14","CEA-related cell adhesion molecule 14 OS=Mus musculus OX=10090 GN=Ceacam14 PE=1 SV=1",10,9,6,9,8,"Q78Y72_MOUSE","Q78Y72_MOUSE","Q78Y72"
"Q91ZD5_MOUSE","Cts3","Cathepsin-3 OS=Mus musculus OX=10090 GN=Cts3 PE=2 SV=1",8,7,2,8,6,"Q91ZD5_MOUSE","Q91ZD5_MOUSE","Q91ZD5"
"Q91ZF4_MOUSE","Ctsq","Cathepsin Q OS=Mus musculus OX=10090 GN=Ctsq PE=1 SV=1",8,5,5,9,8,"Q91ZF4_MOUSE","Q91ZF4_MOUSE","Q91ZF4"
"Q9D0Z8_MOUSE","Ceacam11","CEA-related cell adhesion molecule 11 OS=Mus musculus OX=10090 GN=Ceacam11 PE=1 SV=1",10,10,10,10,11,"Q9D0Z8_MOUSE","Q9D0Z8_MOUSE","Q9D0Z8"
"Q9D2U0_MOUSE","Psg23","MCG140255 OS=Mus musculus OX=10090 GN=Psg23 PE=1 SV=1",7,5,5,7,5,"Q9D2U0_MOUSE","Q9D2U0_MOUSE","Q9D2U0"
"Q9DAT7_MOUSE","Ceacam13","Carcinoembryonic antigen-related cell adhesion molecule 13 OS=Mus musculus OX=10090 GN=Ceacam13 PE=1 SV=1",9,7,3,8,7,"Q9DAT7_MOUSE (+1)","Q9DAT7_MOUSE","Q9DAT7"
"Q9DAV5_MOUSE","Psg21","MCG140256 OS=Mus musculus OX=10090 GN=Psg21 PE=1 SV=1",20,18,16,19,19,"Q9DAV5_MOUSE","Q9DAV5_MOUSE","Q9DAV5"
"Q9DAX3_MOUSE","Erv3","Endogenous retroviral sequence 3 OS=Mus musculus OX=10090 GN=Erv3 PE=1 SV=1",6,3,3,5,5,"Q9DAX3_MOUSE","Q9DAX3_MOUSE","Q9DAX3"
