"Accession.New","MouseGeneName","ProteinID","Description","Sample1","Sample2","Sample3","Sample4","Sample5","10lgP","UniquePeptide","Accession.Number.ori","Accession.Number"
"HS90B_MOUSE","Hsp90ab1","P11499","Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3",54,35,44,53,50,410.51,36,"P11499|HS90B_MOUSE","HS90B_MOUSE"
"ENPL_MOUSE","Hsp90b1","P08113","Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2",50,48,48,51,43,410.47,48,"P08113|ENPL_MOUSE","ENPL_MOUSE"
"G3P_MOUSE","Gapdh","P16858","Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2",72,73,75,55,93,410.2,48,"P16858|G3P_MOUSE","G3P_MOUSE"
"ACTN4_MOUSE","Actn4","P57780","Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1",36,40,36,38,35,408.45,29,"P57780|ACTN4_MOUSE","ACTN4_MOUSE"
"SERPH_MOUSE","Serpinh1","P19324","Serpin H1 OS=Mus musculus GN=Serpinh1 PE=1 SV=3",42,37,33,40,37,404.03,46,"P19324|SERPH_MOUSE","SERPH_MOUSE"
"ACTH_MOUSE","Actg2","P63268","Actin  gamma-enteric smooth muscle OS=Mus musculus GN=Actg2 PE=1 SV=1",45,46,47,55,57,402.69,2,"P63268|ACTH_MOUSE","ACTH_MOUSE"
"HS90A_MOUSE","Hsp90aa1","P07901","Heat shock protein HSP 90-alpha OS=Mus musculus GN=Hsp90aa1 PE=1 SV=4",45,35,40,36,41,400.02,34,"P07901|HS90A_MOUSE","HS90A_MOUSE"
"ATPB_MOUSE","Atp5b","P56480","ATP synthase subunit beta  mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2",42,40,35,36,50,399.64,42,"P56480|ATPB_MOUSE","ATPB_MOUSE"
"TERA_MOUSE","Vcp","Q01853","Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4",34,32,29,34,39,398.24,45,"Q01853|TERA_MOUSE","TERA_MOUSE"
"FBN1_MOUSE","Fbn1","Q61554","Fibrillin-1 OS=Mus musculus GN=Fbn1 PE=1 SV=2",38,25,24,7,12,393.02,35,"Q61554|FBN1_MOUSE","FBN1_MOUSE"
"CH60_MOUSE","Hspd1","P63038","60 kDa heat shock protein  mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1",33,41,35,36,42,392.22,35,"P63038|CH60_MOUSE","CH60_MOUSE"
"K2C8_MOUSE","Krt8","P11679","Keratin  type II cytoskeletal 8 OS=Mus musculus GN=Krt8 PE=1 SV=4",32,73,37,29,39,391.37,48,"P11679|K2C8_MOUSE","K2C8_MOUSE"
"DPYL2_MOUSE","Dpysl2","O08553","Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2",21,20,26,19,30,389.62,28,"O08553|DPYL2_MOUSE","DPYL2_MOUSE"
"GELS_MOUSE","Gsn","P13020","Gelsolin OS=Mus musculus GN=Gsn PE=1 SV=3",23,10,15,18,21,383.47,32,"P13020|GELS_MOUSE","GELS_MOUSE"
"ATPA_MOUSE","Atp5a1","Q03265","ATP synthase subunit alpha  mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1",28,29,28,27,28,379.11,41,"Q03265|ATPA_MOUSE","ATPA_MOUSE"
"PDIA3_MOUSE","Pdia3","P27773","Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2",39,38,29,39,43,379.04,45,"P27773|PDIA3_MOUSE","PDIA3_MOUSE"
"ENOA_MOUSE","Eno1","P17182","Alpha-enolase OS=Mus musculus GN=Eno1 PE=1 SV=3",29,47,38,44,52,373.03,36,"P17182|ENOA_MOUSE","ENOA_MOUSE"
"FLNC_MOUSE","Flnc","Q8VHX6","Filamin-C OS=Mus musculus GN=Flnc PE=1 SV=3",21,29,20,22,30,372.92,34,"Q8VHX6|FLNC_MOUSE","FLNC_MOUSE"
"LAMB2_MOUSE","Lamb2","Q61292","Laminin subunit beta-2 OS=Mus musculus GN=Lamb2 PE=1 SV=2",14,23,7,29,14,372.91,35,"Q61292|LAMB2_MOUSE","LAMB2_MOUSE"
"WDR1_MOUSE","Wdr1","O88342","WD repeat-containing protein 1 OS=Mus musculus GN=Wdr1 PE=1 SV=3",20,12,19,15,22,371.46,23,"O88342|WDR1_MOUSE","WDR1_MOUSE"
"ANXA2_MOUSE","Anxa2","P07356","Annexin A2 OS=Mus musculus GN=Anxa2 PE=1 SV=2",37,37,37,30,40,370.29,40,"P07356|ANXA2_MOUSE","ANXA2_MOUSE"
"MYH10_MOUSE","Myh10","Q61879","Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2",27,24,19,24,24,370.1,24,"Q61879|MYH10_MOUSE","MYH10_MOUSE"
"HSP74_MOUSE","Hspa4","Q61316","Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1",22,15,15,11,12,368,25,"Q61316|HSP74_MOUSE","HSP74_MOUSE"
"ANXA5_MOUSE","Anxa5","P48036","Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1",25,28,20,18,19,366.11,33,"P48036|ANXA5_MOUSE","ANXA5_MOUSE"
"CALX_MOUSE","Canx","P35564","Calnexin OS=Mus musculus GN=Canx PE=1 SV=1",22,22,23,22,33,364.1,35,"P35564|CALX_MOUSE","CALX_MOUSE"
"PDIA6_MOUSE","Pdia6","Q922R8","Protein disulfide-isomerase A6 OS=Mus musculus GN=Pdia6 PE=1 SV=3",21,27,16,17,24,363.5,20,"Q922R8|PDIA6_MOUSE","PDIA6_MOUSE"
"SPTB2_MOUSE","Sptbn1","Q62261","Spectrin beta chain  non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2",23,19,15,17,18,362.79,36,"Q62261|SPTB2_MOUSE","SPTB2_MOUSE"
"HNRPU_MOUSE","Hnrnpu","Q8VEK3","Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus GN=Hnrnpu PE=1 SV=1",21,14,12,9,10,362.74,22,"Q8VEK3|HNRPU_MOUSE","HNRPU_MOUSE"
"VINC_MOUSE","Vcl","Q64727","Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4",32,33,26,35,30,359.83,37,"Q64727|VINC_MOUSE","VINC_MOUSE"
"TBB6_MOUSE","Tubb6","Q922F4","Tubulin beta-6 chain OS=Mus musculus GN=Tubb6 PE=1 SV=1",39,34,43,28,22,356.59,5,"Q922F4|TBB6_MOUSE","TBB6_MOUSE"
"PGBM_MOUSE","Hspg2","Q05793","Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1",15,9,8,11,5,355.71,23,"Q05793|PGBM_MOUSE","PGBM_MOUSE"
"RPN2_MOUSE","Rpn2","Q9DBG6","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Mus musculus GN=Rpn2 PE=1 SV=1",21,21,21,22,20,355.6,25,"Q9DBG6|RPN2_MOUSE","RPN2_MOUSE"
"MBB1A_MOUSE","Mybbp1a","Q7TPV4","Myb-binding protein 1A OS=Mus musculus GN=Mybbp1a PE=1 SV=2",24,12,13,15,16,354.61,26,"Q7TPV4|MBB1A_MOUSE","MBB1A_MOUSE"
"RINI_MOUSE","Rnh1","Q91VI7","Ribonuclease inhibitor OS=Mus musculus GN=Rnh1 PE=1 SV=1",16,13,15,13,15,353.81,23,"Q91VI7|RINI_MOUSE","RINI_MOUSE"
"COPG1_MOUSE","Copg1","Q9QZE5","Coatomer subunit gamma-1 OS=Mus musculus GN=Copg1 PE=1 SV=1",22,18,18,19,21,352.67,27,"Q9QZE5|COPG1_MOUSE","COPG1_MOUSE"
"ACTBL_MOUSE","Actbl2","Q8BFZ3","Beta-actin-like protein 2 OS=Mus musculus GN=Actbl2 PE=1 SV=1",42,46,35,39,46,351.09,4,"Q8BFZ3|ACTBL_MOUSE","ACTBL_MOUSE"
"PTBP1_MOUSE","Ptbp1","P17225","Polypyrimidine tract-binding protein 1 OS=Mus musculus GN=Ptbp1 PE=1 SV=2",18,11,13,10,17,351.04,18,"P17225|PTBP1_MOUSE","PTBP1_MOUSE"
"CO1A2_MOUSE","Col1a2","Q01149","Collagen alpha-2(I) chain OS=Mus musculus GN=Col1a2 PE=1 SV=2",10,19,3,11,11,349.97,21,"Q01149|CO1A2_MOUSE","CO1A2_MOUSE"
"CKAP4_MOUSE","Ckap4","Q8BMK4","Cytoskeleton-associated protein 4 OS=Mus musculus GN=Ckap4 PE=1 SV=2",37,28,25,36,29,349.35,38,"Q8BMK4|CKAP4_MOUSE","CKAP4_MOUSE"
"UBA1_MOUSE","Uba1","Q02053","Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1",33,20,24,28,23,348.42,30,"Q02053|UBA1_MOUSE","UBA1_MOUSE"
"MOES_MOUSE","Msn","P26041","Moesin OS=Mus musculus GN=Msn PE=1 SV=3",20,18,19,23,21,348.15,20,"P26041|MOES_MOUSE","MOES_MOUSE"
"RACK1_MOUSE","Rack1","P68040","Receptor of activated protein C kinase 1 OS=Mus musculus GN=Rack1 PE=1 SV=3",20,16,20,12,11,348,21,"P68040|RACK1_MOUSE","RACK1_MOUSE"
"VDAC1_MOUSE","Vdac1","Q60932","Voltage-dependent anion-selective channel protein 1 OS=Mus musculus GN=Vdac1 PE=1 SV=3",16,17,15,21,18,346.98,19,"Q60932|VDAC1_MOUSE","VDAC1_MOUSE"
"K1C19_MOUSE","Krt19","P19001","Keratin  type I cytoskeletal 19 OS=Mus musculus GN=Krt19 PE=1 SV=1",19,32,33,25,26,345.15,23,"P19001|K1C19_MOUSE","K1C19_MOUSE"
"CTNA1_MOUSE","Ctnna1","P26231","Catenin alpha-1 OS=Mus musculus GN=Ctnna1 PE=1 SV=1",10,10,11,13,11,344.65,21,"P26231|CTNA1_MOUSE","CTNA1_MOUSE"
"GDIB_MOUSE","Gdi2","Q61598","Rab GDP dissociation inhibitor beta OS=Mus musculus GN=Gdi2 PE=1 SV=1",28,22,19,23,18,343.93,25,"Q61598|GDIB_MOUSE","GDIB_MOUSE"
"LAMA5_MOUSE","Lama5","Q61001","Laminin subunit alpha-5 OS=Mus musculus GN=Lama5 PE=1 SV=4",11,13,7,19,9,343.6,23,"Q61001|LAMA5_MOUSE","LAMA5_MOUSE"
"ANXA6_MOUSE","Anxa6","P14824","Annexin A6 OS=Mus musculus GN=Anxa6 PE=1 SV=3",22,19,17,20,21,343.5,28,"P14824|ANXA6_MOUSE","ANXA6_MOUSE"
"ANXA1_MOUSE","Anxa1","P10107","Annexin A1 OS=Mus musculus GN=Anxa1 PE=1 SV=2",26,24,17,19,24,341.74,23,"P10107|ANXA1_MOUSE","ANXA1_MOUSE"
"IF4A1_MOUSE","Eif4a1","P60843","Eukaryotic initiation factor 4A-I OS=Mus musculus GN=Eif4a1 PE=1 SV=1",48,20,36,26,23,340.81,17,"P60843|IF4A1_MOUSE","IF4A1_MOUSE"
"GATM_MOUSE","Gatm","Q9D964","Glycine amidinotransferase  mitochondrial OS=Mus musculus GN=Gatm PE=1 SV=1",20,11,24,20,26,340.55,28,"Q9D964|GATM_MOUSE","GATM_MOUSE"
"TBB3_MOUSE","Tubb3","Q9ERD7","Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1",22,22,19,28,23,340.45,2,"Q9ERD7|TBB3_MOUSE","TBB3_MOUSE"
"KCRB_MOUSE","Ckb","Q04447","Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1",13,15,9,8,19,339.95,22,"Q04447|KCRB_MOUSE","KCRB_MOUSE"
"ALDOA_MOUSE","Aldoa","P05064","Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2",22,20,21,23,29,339.64,21,"P05064|ALDOA_MOUSE","ALDOA_MOUSE"
"PRDX1_MOUSE","Prdx1","P35700","Peroxiredoxin-1 OS=Mus musculus GN=Prdx1 PE=1 SV=1",20,19,14,17,26,338.23,22,"P35700|PRDX1_MOUSE","PRDX1_MOUSE"
"HNRPL_MOUSE","Hnrnpl","Q8R081","Heterogeneous nuclear ribonucleoprotein L OS=Mus musculus GN=Hnrnpl PE=1 SV=2",12,21,7,9,19,336.9,22,"Q8R081|HNRPL_MOUSE","HNRPL_MOUSE"
"SND1_MOUSE","Snd1","Q78PY7","Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus GN=Snd1 PE=1 SV=1",18,12,12,13,17,335.78,24,"Q78PY7|SND1_MOUSE","SND1_MOUSE"
"ITB1_MOUSE","Itgb1","P09055","Integrin beta-1 OS=Mus musculus GN=Itgb1 PE=1 SV=1",19,14,17,14,17,335.38,20,"P09055|ITB1_MOUSE","ITB1_MOUSE"
"LMNA_MOUSE","Lmna","P48678","Prelamin-A/C OS=Mus musculus GN=Lmna PE=1 SV=2",22,17,17,21,19,334.82,22,"P48678|LMNA_MOUSE","LMNA_MOUSE"
"HYOU1_MOUSE","Hyou1","Q9JKR6","Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1",25,20,25,18,20,334.74,26,"Q9JKR6|HYOU1_MOUSE","HYOU1_MOUSE"
"TKT_MOUSE","Tkt","P40142","Transketolase OS=Mus musculus GN=Tkt PE=1 SV=1",19,19,15,16,16,334.13,23,"P40142|TKT_MOUSE","TKT_MOUSE"
"NPM_MOUSE","Npm1","Q61937","Nucleophosmin OS=Mus musculus GN=Npm1 PE=1 SV=1",10,12,9,8,11,333.49,9,"Q61937|NPM_MOUSE","NPM_MOUSE"
"PDIA4_MOUSE","Pdia4","P08003","Protein disulfide-isomerase A4 OS=Mus musculus GN=Pdia4 PE=1 SV=3",14,17,14,13,21,333.39,24,"P08003|PDIA4_MOUSE","PDIA4_MOUSE"
"TPIS_MOUSE","Tpi1","P17751","Triosephosphate isomerase OS=Mus musculus GN=Tpi1 PE=1 SV=4",14,15,11,18,19,332.57,21,"P17751|TPIS_MOUSE","TPIS_MOUSE"
"NB5R3_MOUSE","Cyb5r3","Q9DCN2","NADH-cytochrome b5 reductase 3 OS=Mus musculus GN=Cyb5r3 PE=1 SV=3",19,12,13,17,12,332.31,25,"Q9DCN2|NB5R3_MOUSE","NB5R3_MOUSE"
"THIKA_MOUSE","Acaa1a","Q921H8","3-ketoacyl-CoA thiolase A  peroxisomal OS=Mus musculus GN=Acaa1a PE=1 SV=1",10,14,16,14,8,331.22,21,"Q921H8|THIKA_MOUSE","THIKA_MOUSE"
"GANAB_MOUSE","Ganab","Q8BHN3","Neutral alpha-glucosidase AB OS=Mus musculus GN=Ganab PE=1 SV=1",21,15,15,20,13,329.15,27,"Q8BHN3|GANAB_MOUSE","GANAB_MOUSE"
"SYEP_MOUSE","Eprs","Q8CGC7","Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4",10,11,10,10,16,328.08,22,"Q8CGC7|SYEP_MOUSE","SYEP_MOUSE"
"1433Z_MOUSE","Ywhaz","P63101","14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1",16,19,10,26,27,328.01,16,"P63101|1433Z_MOUSE","1433Z_MOUSE"
"EF1G_MOUSE","Eef1g","Q9D8N0","Elongation factor 1-gamma OS=Mus musculus GN=Eef1g PE=1 SV=3",23,12,22,19,20,327.98,23,"Q9D8N0|EF1G_MOUSE","EF1G_MOUSE"
"CATB_MOUSE","Ctsb","P10605","Cathepsin B OS=Mus musculus GN=Ctsb PE=1 SV=2",24,12,17,12,15,326.94,24,"P10605|CATB_MOUSE","CATB_MOUSE"
"MPRI_MOUSE","Igf2r","Q07113","Cation-independent mannose-6-phosphate receptor OS=Mus musculus GN=Igf2r PE=1 SV=1",16,8,4,8,8,326.88,23,"Q07113|MPRI_MOUSE","MPRI_MOUSE"
"K2C7_MOUSE","Krt7","Q9DCV7","Keratin  type II cytoskeletal 7 OS=Mus musculus GN=Krt7 PE=1 SV=1",9,24,15,14,16,326.04,21,"Q9DCV7|K2C7_MOUSE","K2C7_MOUSE"
"1433T_MOUSE","Ywhaq","P68254","14-3-3 protein theta OS=Mus musculus GN=Ywhaq PE=1 SV=1",16,16,13,12,19,325.55,12,"P68254|1433T_MOUSE","1433T_MOUSE"
"H2A1H_MOUSE","Hist1h2ah","Q8CGP6","Histone H2A type 1-H OS=Mus musculus GN=Hist1h2ah PE=1 SV=3",26,39,29,69,71,325.53,2,"Q8CGP6|H2A1H_MOUSE","H2A1H_MOUSE"
"H2AJ_MOUSE","H2afj","Q8R1M2","Histone H2A.J OS=Mus musculus GN=H2afj PE=1 SV=1",26,39,29,69,71,325.53,2,"Q8R1M2|H2AJ_MOUSE","H2AJ_MOUSE"
"H2A1E_MOUSE","Hist1h2ae","C0HKE4","Histone H2A type 1-E OS=Mus musculus GN=Hist1h2ae PE=1 SV=1",26,39,29,69,71,325.53,2,"C0HKE4|H2A1E_MOUSE","H2A1E_MOUSE"
"H2A3_MOUSE","Hist3h2a","Q8BFU2","Histone H2A type 3 OS=Mus musculus GN=Hist3h2a PE=1 SV=3",26,39,29,69,71,325.53,2,"Q8BFU2|H2A3_MOUSE","H2A3_MOUSE"
"H2A1I_MOUSE","Hist1h2ai","C0HKE6","Histone H2A type 1-I OS=Mus musculus GN=Hist1h2ai PE=1 SV=1",26,39,29,69,71,325.53,2,"C0HKE6|H2A1I_MOUSE","H2A1I_MOUSE"
"H2A1O_MOUSE","Hist1h2ao","C0HKE8","Histone H2A type 1-O OS=Mus musculus GN=Hist1h2ao PE=1 SV=1",26,39,29,69,71,325.53,2,"C0HKE8|H2A1O_MOUSE","H2A1O_MOUSE"
"H2A1B_MOUSE","Hist1h2ab","C0HKE1","Histone H2A type 1-B OS=Mus musculus GN=Hist1h2ab PE=1 SV=1",26,39,29,69,71,325.53,2,"C0HKE1|H2A1B_MOUSE","H2A1B_MOUSE"
"H2A1G_MOUSE","Hist1h2ag","C0HKE5","Histone H2A type 1-G OS=Mus musculus GN=Hist1h2ag PE=1 SV=1",26,39,29,69,71,325.53,2,"C0HKE5|H2A1G_MOUSE","H2A1G_MOUSE"
"H2A1K_MOUSE","Hist1h2ak","Q8CGP7","Histone H2A type 1-K OS=Mus musculus GN=Hist1h2ak PE=1 SV=3",26,39,29,69,71,325.53,2,"Q8CGP7|H2A1K_MOUSE","H2A1K_MOUSE"
"H2A1C_MOUSE","Hist1h2ac","C0HKE2","Histone H2A type 1-C OS=Mus musculus GN=Hist1h2ac PE=1 SV=1",26,39,29,69,71,325.53,2,"C0HKE2|H2A1C_MOUSE","H2A1C_MOUSE"
"H2A1N_MOUSE","Hist1h2an","C0HKE7","Histone H2A type 1-N OS=Mus musculus GN=Hist1h2an PE=1 SV=1",26,39,29,69,71,325.53,2,"C0HKE7|H2A1N_MOUSE","H2A1N_MOUSE"
"H2A1D_MOUSE","Hist1h2ad","C0HKE3","Histone H2A type 1-D OS=Mus musculus GN=Hist1h2ad PE=1 SV=1",26,39,29,69,71,325.53,2,"C0HKE3|H2A1D_MOUSE","H2A1D_MOUSE"
"H2A1F_MOUSE","Hist1h2af","Q8CGP5","Histone H2A type 1-F OS=Mus musculus GN=Hist1h2af PE=1 SV=3",26,39,29,69,71,325.53,2,"Q8CGP5|H2A1F_MOUSE","H2A1F_MOUSE"
"H2A1P_MOUSE","Hist1h2ap","C0HKE9","Histone H2A type 1-P OS=Mus musculus GN=Hist1h2ap PE=1 SV=1",26,39,29,69,71,325.53,2,"C0HKE9|H2A1P_MOUSE","H2A1P_MOUSE"
"LDHA_MOUSE","Ldha","P06151","L-lactate dehydrogenase A chain OS=Mus musculus GN=Ldha PE=1 SV=3",22,29,20,26,20,324.79,26,"P06151|LDHA_MOUSE","LDHA_MOUSE"
"SAMH1_MOUSE","Samhd1","Q60710","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Mus musculus GN=Samhd1 PE=1 SV=2",20,13,19,13,19,324.42,25,"Q60710|SAMH1_MOUSE","SAMH1_MOUSE"
"COPA_MOUSE","Copa","Q8CIE6","Coatomer subunit alpha OS=Mus musculus GN=Copa PE=1 SV=2",23,15,15,21,15,324.11,34,"Q8CIE6|COPA_MOUSE","COPA_MOUSE"
"COF1_MOUSE","Cfl1","P18760","Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=3",20,17,19,17,28,323.22,16,"P18760|COF1_MOUSE","COF1_MOUSE"
"MYOF_MOUSE","Myof","Q69ZN7","Myoferlin OS=Mus musculus GN=Myof PE=1 SV=2",13,8,10,11,10,322.72,26,"Q69ZN7|MYOF_MOUSE","MYOF_MOUSE"
"PLST_MOUSE","Pls3","Q99K51","Plastin-3 OS=Mus musculus GN=Pls3 PE=1 SV=3",24,8,15,13,19,322.13,16,"Q99K51|PLST_MOUSE","PLST_MOUSE"
