"MouseGeneName","Accession.New.x","Description.x","Sample1.x","Sample2.x","Sample3.x","Sample4.x","Sample5.x","Accession.Number.ori.x","Accession.Number.x","ProteinID.x","Accession.New.y","Description.y","Sample1.y","Sample2.y","Sample3.y","Sample4.y","Sample5.y","Accession.Number.ori.y","Accession.Number.y","ProteinID.y","HumanGeneName"
"Afp","FETA_MOUSE","Alpha-fetoprotein OS=Mus musculus OX=10090 GN=Afp PE=2 SV=1",35,19,30,34,35,"FETA_MOUSE","FETA_MOUSE","P02772","FETA_MOUSE","Alpha-fetoprotein OS=Mus musculus OX=10090 GN=Afp PE=2 SV=1",35,19,30,34,35,"FETA_MOUSE","FETA_MOUSE","P02772","AFP"
"Aga","ASPG_MOUSE","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Mus musculus OX=10090 GN=Aga PE=1 SV=1",5,3,4,4,4,"ASPG_MOUSE","ASPG_MOUSE","Q64191","ASPG_MOUSE","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Mus musculus OX=10090 GN=Aga PE=1 SV=1",5,3,4,4,4,"ASPG_MOUSE","ASPG_MOUSE","Q64191","AGA"
"Ahcy","SAHH_MOUSE","Adenosylhomocysteinase OS=Mus musculus OX=10090 GN=Ahcy PE=1 SV=3",13,15,13,15,14,"SAHH_MOUSE","SAHH_MOUSE","P50247","SAHH_MOUSE","Adenosylhomocysteinase OS=Mus musculus OX=10090 GN=Ahcy PE=1 SV=3",13,15,13,15,14,"SAHH_MOUSE","SAHH_MOUSE","P50247","AHCY"
"Ahnak","E9Q616_MOUSE","AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1",7,7,7,8,10,"E9Q616_MOUSE","E9Q616_MOUSE","E9Q616","E9Q616_MOUSE","AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1",7,7,7,8,10,"E9Q616_MOUSE","E9Q616_MOUSE","E9Q616","AHNAK"
"Ahsa1","AHSA1_MOUSE","Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus OX=10090 GN=Ahsa1 PE=1 SV=2",6,3,2,4,5,"AHSA1_MOUSE","AHSA1_MOUSE","Q8BK64","AHSA1_MOUSE","Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus OX=10090 GN=Ahsa1 PE=1 SV=2",6,3,2,4,5,"AHSA1_MOUSE","AHSA1_MOUSE","Q8BK64","AHSA1"
"Aif1l","AIF1L_MOUSE","Allograft inflammatory factor 1-like OS=Mus musculus OX=10090 GN=Aif1l PE=1 SV=1",4,3,2,2,3,"AIF1L_MOUSE","AIF1L_MOUSE","Q9EQX4","AIF1L_MOUSE","Allograft inflammatory factor 1-like OS=Mus musculus OX=10090 GN=Aif1l PE=1 SV=1",4,3,2,2,3,"AIF1L_MOUSE","AIF1L_MOUSE","Q9EQX4","AIF1L"
"Aifm1","AIFM1_MOUSE","Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus OX=10090 GN=Aifm1 PE=1 SV=1",2,2,0,2,3,"AIFM1_MOUSE","AIFM1_MOUSE","Q9Z0X1","AIFM1_MOUSE","Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus OX=10090 GN=Aifm1 PE=1 SV=1",2,2,0,2,3,"AIFM1_MOUSE","AIFM1_MOUSE","Q9Z0X1","AIFM1"
"Aimp1","AIMP1_MOUSE","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus OX=10090 GN=Aimp1 PE=1 SV=2",4,3,2,4,3,"AIMP1_MOUSE","AIMP1_MOUSE","P31230","AIMP1_MOUSE","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus OX=10090 GN=Aimp1 PE=1 SV=2",4,3,2,4,3,"AIMP1_MOUSE","AIMP1_MOUSE","P31230","AIMP1"
"Ak2","KAD2_MOUSE","Isoform 2 of Adenylate kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ak2",9,6,5,7,6,"sp|Q9WTP6-2|KAD2_MOUSE (+1)","KAD2_MOUSE","Q9WTP6","KAD2_MOUSE","Isoform 2 of Adenylate kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ak2",9,6,5,7,6,"sp|Q9WTP6-2|KAD2_MOUSE (+1)","KAD2_MOUSE","Q9WTP6","AK2"
"Akr1a1","AK1A1_MOUSE","Alcohol dehydrogenase [NADP(+)] OS=Mus musculus OX=10090 GN=Akr1a1 PE=1 SV=3",11,9,11,12,9,"AK1A1_MOUSE","AK1A1_MOUSE","Q9JII6","AK1A1_MOUSE","Alcohol dehydrogenase [NADP(+)] OS=Mus musculus OX=10090 GN=Akr1a1 PE=1 SV=3",11,9,11,12,9,"AK1A1_MOUSE","AK1A1_MOUSE","Q9JII6","AKR1A1"
"Alad","HEM2_MOUSE","Delta-aminolevulinic acid dehydratase OS=Mus musculus OX=10090 GN=Alad PE=1 SV=1",12,10,7,10,12,"HEM2_MOUSE","HEM2_MOUSE","P10518","HEM2_MOUSE","Delta-aminolevulinic acid dehydratase OS=Mus musculus OX=10090 GN=Alad PE=1 SV=1",12,10,7,10,12,"HEM2_MOUSE","HEM2_MOUSE","P10518","ALAD"
"Alb","ALBU_MOUSE","Serum albumin OS=Mus musculus OX=10090 GN=Alb PE=1 SV=3",21,16,20,25,20,"ALBU_MOUSE","ALBU_MOUSE","P07724","ALBU_MOUSE","Serum albumin OS=Mus musculus OX=10090 GN=Alb PE=1 SV=3",21,16,20,25,20,"ALBU_MOUSE","ALBU_MOUSE","P07724","ALB"
"Aldh16a1","A0A1B0GSU0_MOUSE","Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus OX=10090 GN=Aldh16a1 PE=1 SV=1",3,5,0,6,5,"A0A1B0GSU0_MOUSE (+2)","A0A1B0GSU0_MOUSE","A0A1B0GSU0","A0A1B0GSU0_MOUSE","Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus OX=10090 GN=Aldh16a1 PE=1 SV=1",3,5,0,6,5,"A0A1B0GSU0_MOUSE (+2)","A0A1B0GSU0_MOUSE","A0A1B0GSU0","ALDH16A1"
"Aldh1a3","AL1A3_MOUSE","Aldehyde dehydrogenase family 1 member A3 OS=Mus musculus OX=10090 GN=Aldh1a3 PE=1 SV=1",5,4,2,0,2,"AL1A3_MOUSE","AL1A3_MOUSE","Q9JHW9","AL1A3_MOUSE","Aldehyde dehydrogenase family 1 member A3 OS=Mus musculus OX=10090 GN=Aldh1a3 PE=1 SV=1",5,4,2,0,2,"AL1A3_MOUSE","AL1A3_MOUSE","Q9JHW9","ALDH1A3"
"Aldh7a1","AL7A1_MOUSE","Isoform 2 of Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh7a1",7,0,2,6,8,"sp|Q9DBF1-2|AL7A1_MOUSE (+1)","AL7A1_MOUSE","Q9DBF1","AL7A1_MOUSE","Isoform 2 of Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh7a1",7,0,2,6,8,"sp|Q9DBF1-2|AL7A1_MOUSE (+1)","AL7A1_MOUSE","Q9DBF1","ALDH7A1"
"Aldh9a1","AL9A1_MOUSE","4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh9a1 PE=1 SV=1",9,7,5,9,8,"AL9A1_MOUSE","AL9A1_MOUSE","Q9JLJ2","AL9A1_MOUSE","4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh9a1 PE=1 SV=1",9,7,5,9,8,"AL9A1_MOUSE","AL9A1_MOUSE","Q9JLJ2","ALDH9A1"
"Aldoa","ALDOA_MOUSE","Fructose-bisphosphate aldolase A OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=2",23,19,17,18,19,"ALDOA_MOUSE","ALDOA_MOUSE","P05064","ALDOA_MOUSE","Fructose-bisphosphate aldolase A OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=2",23,19,17,18,19,"ALDOA_MOUSE","ALDOA_MOUSE","P05064","ALDOA"
"Ampd3","A0A1L1SRX2_MOUSE","AMP deaminase OS=Mus musculus OX=10090 GN=Ampd3 PE=1 SV=1",4,4,2,5,6,"A0A1L1SRX2_MOUSE","A0A1L1SRX2_MOUSE","A0A1L1SRX2","A0A1L1SRX2_MOUSE","AMP deaminase OS=Mus musculus OX=10090 GN=Ampd3 PE=1 SV=1",4,4,2,5,6,"A0A1L1SRX2_MOUSE","A0A1L1SRX2_MOUSE","A0A1L1SRX2","AMPD3"
"Angpt2","ANGP2_MOUSE","Angiopoietin-2 OS=Mus musculus OX=10090 GN=Angpt2 PE=2 SV=2",3,3,0,4,6,"ANGP2_MOUSE","ANGP2_MOUSE","O35608","ANGP2_MOUSE","Angiopoietin-2 OS=Mus musculus OX=10090 GN=Angpt2 PE=2 SV=2",3,3,0,4,6,"ANGP2_MOUSE","ANGP2_MOUSE","O35608","ANGPT2"
"Angptl2","ANGL2_MOUSE","Angiopoietin-related protein 2 OS=Mus musculus OX=10090 GN=Angptl2 PE=2 SV=2",5,0,3,7,4,"ANGL2_MOUSE","ANGL2_MOUSE","Q9R045","ANGL2_MOUSE","Angiopoietin-related protein 2 OS=Mus musculus OX=10090 GN=Angptl2 PE=2 SV=2",5,0,3,7,4,"ANGL2_MOUSE","ANGL2_MOUSE","Q9R045","ANGPTL2"
"Anp32a","D3YYE1_MOUSE","Acidic leucine-rich nuclear phosphoprotein 32 family member A (Fragment) OS=Mus musculus OX=10090 GN=Anp32a PE=1 SV=1",4,4,0,3,3,"D3YYE1_MOUSE","D3YYE1_MOUSE","D3YYE1","D3YYE1_MOUSE","Acidic leucine-rich nuclear phosphoprotein 32 family member A (Fragment) OS=Mus musculus OX=10090 GN=Anp32a PE=1 SV=1",4,4,0,3,3,"D3YYE1_MOUSE","D3YYE1_MOUSE","D3YYE1","ANP32A"
"Anp32b","AN32B_MOUSE","Isoform 2 of Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Mus musculus OX=10090 GN=Anp32b",3,6,2,5,5,"sp|Q9EST5-2|AN32B_MOUSE (+1)","AN32B_MOUSE","Q9EST5","AN32B_MOUSE","Isoform 2 of Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Mus musculus OX=10090 GN=Anp32b",3,6,2,5,5,"sp|Q9EST5-2|AN32B_MOUSE (+1)","AN32B_MOUSE","Q9EST5","ANP32B"
"Anpep","AMPN_MOUSE","Aminopeptidase N OS=Mus musculus OX=10090 GN=Anpep PE=1 SV=4",3,4,3,3,0,"AMPN_MOUSE","AMPN_MOUSE","P97449","AMPN_MOUSE","Aminopeptidase N OS=Mus musculus OX=10090 GN=Anpep PE=1 SV=4",3,4,3,3,0,"AMPN_MOUSE","AMPN_MOUSE","P97449","ANPEP"
"Anxa1","ANXA1_MOUSE","Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2",8,5,5,7,10,"ANXA1_MOUSE","ANXA1_MOUSE","P10107","ANXA1_MOUSE","Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2",8,5,5,7,10,"ANXA1_MOUSE","ANXA1_MOUSE","P10107","ANXA1"
"Anxa2","ANXA2_MOUSE","Annexin A2 OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=2",12,9,9,12,12,"ANXA2_MOUSE","ANXA2_MOUSE","P07356","ANXA2_MOUSE","Annexin A2 OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=2",12,9,9,12,12,"ANXA2_MOUSE","ANXA2_MOUSE","P07356","ANXA2"
"Anxa5","ANXA5_MOUSE","Annexin A5 OS=Mus musculus OX=10090 GN=Anxa5 PE=1 SV=1",8,7,5,5,5,"ANXA5_MOUSE","ANXA5_MOUSE","P48036","ANXA5_MOUSE","Annexin A5 OS=Mus musculus OX=10090 GN=Anxa5 PE=1 SV=1",8,7,5,5,5,"ANXA5_MOUSE","ANXA5_MOUSE","P48036","ANXA5"
"Aoc1","AOC1_MOUSE","Amiloride-sensitive amine oxidase [copper-containing] OS=Mus musculus OX=10090 GN=Aoc1 PE=2 SV=1",6,4,4,7,6,"AOC1_MOUSE (+1)","AOC1_MOUSE","Q8JZQ5","AOC1_MOUSE","Amiloride-sensitive amine oxidase [copper-containing] OS=Mus musculus OX=10090 GN=Aoc1 PE=2 SV=1",6,4,4,7,6,"AOC1_MOUSE (+1)","AOC1_MOUSE","Q8JZQ5","AOC1"
"Ap1b1","AP1B1_MOUSE","AP-1 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap1b1 PE=1 SV=2",10,5,2,5,7,"AP1B1_MOUSE (+2)","AP1B1_MOUSE","O35643","AP1B1_MOUSE","AP-1 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap1b1 PE=1 SV=2",10,5,2,5,7,"AP1B1_MOUSE (+2)","AP1B1_MOUSE","O35643","AP1B1"
"Ap1g1","AP1G1_MOUSE","AP-1 complex subunit gamma-1 OS=Mus musculus OX=10090 GN=Ap1g1 PE=1 SV=3",4,3,2,5,5,"AP1G1_MOUSE (+1)","AP1G1_MOUSE","P22892","AP1G1_MOUSE","AP-1 complex subunit gamma-1 OS=Mus musculus OX=10090 GN=Ap1g1 PE=1 SV=3",4,3,2,5,5,"AP1G1_MOUSE (+1)","AP1G1_MOUSE","P22892","AP1G1"
"Ap1m1","AP1M1_MOUSE","AP-1 complex subunit mu-1 OS=Mus musculus OX=10090 GN=Ap1m1 PE=1 SV=3",8,5,0,5,8,"AP1M1_MOUSE","AP1M1_MOUSE","P35585","AP1M1_MOUSE","AP-1 complex subunit mu-1 OS=Mus musculus OX=10090 GN=Ap1m1 PE=1 SV=3",8,5,0,5,8,"AP1M1_MOUSE","AP1M1_MOUSE","P35585","AP1M1"
"Ap2a1","AP2A1_MOUSE","Isoform B of AP-2 complex subunit alpha-1 OS=Mus musculus OX=10090 GN=Ap2a1",6,4,0,4,7,"sp|P17426-2|AP2A1_MOUSE (+1)","AP2A1_MOUSE","P17426","AP2A1_MOUSE","Isoform B of AP-2 complex subunit alpha-1 OS=Mus musculus OX=10090 GN=Ap2a1",6,4,0,4,7,"sp|P17426-2|AP2A1_MOUSE (+1)","AP2A1_MOUSE","P17426","AP2A1"
"Ap2a2","AP2A2_MOUSE","AP-2 complex subunit alpha-2 OS=Mus musculus OX=10090 GN=Ap2a2 PE=1 SV=2",8,5,5,8,9,"AP2A2_MOUSE","AP2A2_MOUSE","P17427","AP2A2_MOUSE","AP-2 complex subunit alpha-2 OS=Mus musculus OX=10090 GN=Ap2a2 PE=1 SV=2",8,5,5,8,9,"AP2A2_MOUSE","AP2A2_MOUSE","P17427","AP2A2"
"Ap2b1","AP2B1_MOUSE","Isoform 2 of AP-2 complex subunit beta OS=Mus musculus OX=10090 GN=Ap2b1",18,15,9,15,18,"sp|Q9DBG3-2|AP2B1_MOUSE (+1)","AP2B1_MOUSE","Q9DBG3","AP2B1_MOUSE","Isoform 2 of AP-2 complex subunit beta OS=Mus musculus OX=10090 GN=Ap2b1",18,15,9,15,18,"sp|Q9DBG3-2|AP2B1_MOUSE (+1)","AP2B1_MOUSE","Q9DBG3","AP2B1"
"Ap2m1","Q3TWV4_MOUSE","AP-2 complex subunit mu OS=Mus musculus OX=10090 GN=Ap2m1 PE=1 SV=1",7,2,3,6,5,"Q3TWV4_MOUSE","Q3TWV4_MOUSE","Q3TWV4","Q3TWV4_MOUSE","AP-2 complex subunit mu OS=Mus musculus OX=10090 GN=Ap2m1 PE=1 SV=1",7,2,3,6,5,"Q3TWV4_MOUSE","Q3TWV4_MOUSE","Q3TWV4","AP2M1"
"Apeh","A0A0R4J107_MOUSE","Acylamino-acid-releasing enzyme (Fragment) OS=Mus musculus OX=10090 GN=Apeh PE=1 SV=1",12,11,8,11,8,"A0A0R4J107_MOUSE (+2)","A0A0R4J107_MOUSE","A0A0R4J107","A0A0R4J107_MOUSE","Acylamino-acid-releasing enzyme (Fragment) OS=Mus musculus OX=10090 GN=Apeh PE=1 SV=1",12,11,8,11,8,"A0A0R4J107_MOUSE (+2)","A0A0R4J107_MOUSE","A0A0R4J107","APEH"
"Apex1","APEX1_MOUSE","DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2",5,2,0,3,4,"APEX1_MOUSE","APEX1_MOUSE","P28352","APEX1_MOUSE","DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2",5,2,0,3,4,"APEX1_MOUSE","APEX1_MOUSE","P28352","APEX1"
"Apoa1","APOA1_MOUSE","Apolipoprotein A-I OS=Mus musculus OX=10090 GN=Apoa1 PE=1 SV=2",6,2,5,8,9,"APOA1_MOUSE","APOA1_MOUSE","Q00623","APOA1_MOUSE","Apolipoprotein A-I OS=Mus musculus OX=10090 GN=Apoa1 PE=1 SV=2",6,2,5,8,9,"APOA1_MOUSE","APOA1_MOUSE","Q00623","APOA1"
"Apoe","APOE_MOUSE","Apolipoprotein E OS=Mus musculus OX=10090 GN=Apoe PE=1 SV=2",8,10,10,11,8,"APOE_MOUSE","APOE_MOUSE","P08226","APOE_MOUSE","Apolipoprotein E OS=Mus musculus OX=10090 GN=Apoe PE=1 SV=2",8,10,10,11,8,"APOE_MOUSE","APOE_MOUSE","P08226","APOE"
"App","A0A2I3BPT1_MOUSE","Amyloid-beta A4 protein OS=Mus musculus OX=10090 GN=App PE=1 SV=1",10,5,6,12,8,"A0A2I3BPT1_MOUSE (+3)","A0A2I3BPT1_MOUSE","A0A2I3BPT1","A0A2I3BPT1_MOUSE","Amyloid-beta A4 protein OS=Mus musculus OX=10090 GN=App PE=1 SV=1",10,5,6,12,8,"A0A2I3BPT1_MOUSE (+3)","A0A2I3BPT1_MOUSE","A0A2I3BPT1","APP"
"Aprt","APT_MOUSE","Adenine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Aprt PE=1 SV=2",3,5,4,5,3,"APT_MOUSE","APT_MOUSE","P08030","APT_MOUSE","Adenine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Aprt PE=1 SV=2",3,5,4,5,3,"APT_MOUSE","APT_MOUSE","P08030","APRT"
"Arcn1","COPD_MOUSE","Coatomer subunit delta OS=Mus musculus OX=10090 GN=Arcn1 PE=1 SV=2",13,11,8,12,15,"COPD_MOUSE","COPD_MOUSE","Q5XJY5","COPD_MOUSE","Coatomer subunit delta OS=Mus musculus OX=10090 GN=Arcn1 PE=1 SV=2",13,11,8,12,15,"COPD_MOUSE","COPD_MOUSE","Q5XJY5","ARCN1"
