#,Visible?,Starred?,Identified Proteins (1467),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,BioSample 1,BioSample 2,BioSample 3,BioSample 4,BioSample 5,MP
76,TRUE,Empty,Serotransferrin OS=Mus musculus OX=10090 GN=Tf PE=1 SV=1,TRFE_MOUSE,,77 kDa,TRUE,unknown,39,18,27,36,40,32
99,TRUE,Empty,Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=1,E9QN70_MOUSE (+1),,202 kDa,,unknown,44,32,31,41,38,37.2
78,TRUE,Empty,Prosaposin OS=Mus musculus OX=10090 GN=Psap PE=1 SV=1,E9PZ00_MOUSE (+1),,61 kDa,,unknown,24,23,21,23,23,22.8
31,TRUE,Empty,Hemoglobin subunit zeta OS=Mus musculus OX=10090 GN=Hbz PE=2 SV=2,HBAZ_MOUSE,,16 kDa,TRUE,unknown,10,10,10,10,10,10
62,TRUE,Empty,Vascular endothelial growth factor receptor 1 OS=Mus musculus OX=10090 GN=Flt1 PE=1 SV=1,A0A0R4J0A4_MOUSE (+1),,150 kDa,TRUE,unknown,32,28,11,30,30,26.2
167,TRUE,Empty,Laminin subunit alpha-1 OS=Mus musculus OX=10090 GN=Lama1 PE=1 SV=1,F8VQ40_MOUSE,,338 kDa,TRUE,unknown,44,33,36,38,43,38.8
38,TRUE,Empty,Prolactin-2C2 OS=Mus musculus OX=10090 GN=Prl2c2 PE=1 SV=1,sp|P04095|PR2C2_MOUSE,,25 kDa,TRUE,unknown,13,12,9,11,11,11.2
109,TRUE,Empty,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gm10358 PE=1 SV=1,A0A1D5RLD8_MOUSE,,36 kDa,TRUE,unknown,15,14,10,13,14,13.2
74,TRUE,Empty,Decorin OS=Mus musculus OX=10090 GN=Dcn PE=1 SV=1,PGS2_MOUSE,,40 kDa,TRUE,unknown,16,14,16,15,16,15.4
87,TRUE,Empty,Peroxiredoxin-1 OS=Mus musculus OX=10090 GN=Prdx1 PE=1 SV=1,PRDX1_MOUSE,,22 kDa,TRUE,unknown,12,12,13,12,12,12.2
110,TRUE,Empty,Alpha-enolase OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=3,ENOA_MOUSE,,47 kDa,TRUE,unknown,22,21,20,22,21,21.2
177,TRUE,Empty,Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus OX=10090 GN=Iqgap1 PE=1 SV=2,IQGA1_MOUSE,,189 kDa,TRUE,unknown,43,38,30,49,40,40
274,TRUE,Empty,"Collagen, type VI, alpha 3 OS=Mus musculus OX=10090 GN=Col6a3 PE=1 SV=2",E9PWQ3_MOUSE,,354 kDa,,unknown,49,39,29,66,53,47.2
56,TRUE,Empty,Cathepsin L1 OS=Mus musculus OX=10090 GN=Ctsl PE=1 SV=2,CATL1_MOUSE,,38 kDa,,unknown,12,11,11,13,12,11.8
161,TRUE,Empty,Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2,sp|P48678|LMNA_MOUSE,,74 kDa,TRUE,unknown,27,28,22,31,30,27.6
107,TRUE,Empty,Phosphoglycerate kinase 1 OS=Mus musculus OX=10090 GN=Pgk1 PE=1 SV=4,PGK1_MOUSE,,45 kDa,,unknown,19,18,20,20,21,19.6
172,TRUE,Empty,Thrombospondin-1 OS=Mus musculus OX=10090 GN=Thbs1 PE=1 SV=1,Q80YQ1_MOUSE,,130 kDa,TRUE,unknown,25,24,21,30,27,25.4
133,TRUE,Empty,Isoform 2 of Filamin-C OS=Mus musculus OX=10090 GN=Flnc,sp|Q8VHX6-2|FLNC_MOUSE (+1),,287 kDa,TRUE,unknown,52,38,33,45,47,43
115,TRUE,Empty,Isoform 2 of Tenascin OS=Mus musculus OX=10090 GN=Tnc,sp|Q80YX1-2|TENA_MOUSE,,222 kDa,,unknown,45,25,28,44,42,36.8
28,TRUE,Empty,Prolactin-7A2 OS=Mus musculus OX=10090 GN=Prl7a2 PE=2 SV=1,PR7A2_MOUSE,,29 kDa,,unknown,9,8,6,9,9,8.2
112,TRUE,Empty,Rab GDP dissociation inhibitor beta OS=Mus musculus OX=10090 GN=Gdi2 PE=1 SV=1,sp|Q61598|GDIB_MOUSE,,51 kDa,TRUE,unknown,30,28,27,29,30,28.8
218,TRUE,Empty,"Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptbn1 PE=1 SV=2",sp|Q62261|SPTB2_MOUSE,,274 kDa,TRUE,unknown,43,34,22,55,45,39.8
41,TRUE,Empty,Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus OX=10090 GN=Ppib PE=1 SV=2,PPIB_MOUSE,,24 kDa,,unknown,12,12,12,12,12,12
39,TRUE,Empty,Cathepsin J OS=Mus musculus OX=10090 GN=Ctsj PE=1 SV=1,A0A0R4J0V8_MOUSE (+1),,37 kDa,,unknown,17,10,13,16,16,14.4
169,TRUE,Empty,Protein disulfide-isomerase A4 OS=Mus musculus OX=10090 GN=Pdia4 PE=1 SV=1,A0A0R4J0Z1_MOUSE (+1),,72 kDa,,unknown,26,31,16,25,25,24.6
162,TRUE,Empty,Laminin subunit alpha-5 OS=Mus musculus OX=10090 GN=Lama5 PE=1 SV=4,LAMA5_MOUSE,,404 kDa,TRUE,unknown,43,31,34,34,36,35.6
54,TRUE,Empty,Alpha-actinin-1 OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1,ACTN1_MOUSE,,103 kDa,TRUE,unknown,25,31,25,34,28,28.6
73,TRUE,Empty,Beta-2-microglobulin OS=Mus musculus OX=10090 GN=B2m PE=1 SV=2,B2MG_MOUSE,,14 kDa,,unknown,5,5,6,6,6,5.6
71,TRUE,Empty,Elongation factor 1-alpha 1 OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=3,EF1A1_MOUSE,,50 kDa,,unknown,14,12,11,15,13,13
137,TRUE,Empty,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Mus musculus OX=10090 GN=Samhd1 PE=1 SV=1,F8WJE0_MOUSE (+1),,76 kDa,TRUE,unknown,28,26,22,28,27,26.2
43,TRUE,Empty,Serum albumin OS=Mus musculus OX=10090 GN=Alb PE=1 SV=3,ALBU_MOUSE,,69 kDa,TRUE,unknown,21,16,20,25,20,20.4
113,TRUE,Empty,Glucose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Gpi PE=1 SV=4,G6PI_MOUSE,,63 kDa,,unknown,23,21,19,17,20,20
101,TRUE,Empty,WD repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Wdr1 PE=1 SV=3,WDR1_MOUSE,,66 kDa,,unknown,27,20,21,24,25,23.4
69,TRUE,Empty,Adenosine deaminase OS=Mus musculus OX=10090 GN=Ada PE=1 SV=3,ADA_MOUSE,,40 kDa,,unknown,19,19,17,18,19,18.4
36,TRUE,Empty,14-3-3 protein zeta/delta OS=Mus musculus OX=10090 GN=Ywhaz PE=1 SV=1,1433Z_MOUSE,,28 kDa,TRUE,unknown,16,14,15,13,13,14.2
92,TRUE,Empty,Isoform 2 of Collagen alpha-1(I) chain OS=Mus musculus OX=10090 GN=Col1a1,sp|P11087-2|CO1A1_MOUSE (+1),,118 kDa,,unknown,14,13,13,14,13,13.4
46,TRUE,Empty,Prolactin-8A9 OS=Mus musculus OX=10090 GN=Prl8a9 PE=2 SV=1,PR8A9_MOUSE,,28 kDa,,unknown,9,9,6,8,8,8
132,TRUE,Empty,Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp PE=1 SV=1,Q543K9_MOUSE,,32 kDa,TRUE,unknown,15,15,13,15,15,14.6
128,TRUE,Empty,Serpin H1 OS=Mus musculus OX=10090 GN=Serpinh1 PE=1 SV=3,SERPH_MOUSE,,47 kDa,,unknown,19,18,17,20,19,18.6
196,TRUE,Empty,Isoform 2 of Tropomyosin alpha-3 chain OS=Mus musculus OX=10090 GN=Tpm3,sp|P21107-2|TPM3_MOUSE,,29 kDa,TRUE,unknown,15,15,15,16,16,15.4
198,TRUE,Empty,Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2,LAMB2_MOUSE,,197 kDa,,unknown,35,21,25,26,28,27
166,TRUE,Empty,Isoform 2 of Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus OX=10090 GN=Hnrnpa2b1,sp|O88569-2|ROA2_MOUSE (+2),,36 kDa,TRUE,unknown,17,16,19,17,19,17.6
53,TRUE,Empty,Histone H2B OS=Mus musculus OX=10090 GN=Hist1h2bq PE=2 SV=1,Q8CBB6_MOUSE,,15 kDa,,unknown,7,6,6,8,6,6.6
104,TRUE,Empty,Phosphoglycerate mutase 1 OS=Mus musculus OX=10090 GN=Pgam1 PE=1 SV=3,PGAM1_MOUSE,,29 kDa,,unknown,15,15,13,14,14,14.2
97,TRUE,Empty,"Keratin, type I cytoskeletal 19 OS=Mus musculus OX=10090 GN=Krt19 PE=1 SV=1",K1C19_MOUSE,,45 kDa,TRUE,unknown,21,18,14,18,20,18.2
57,TRUE,Empty,Prolactin-7D1 OS=Mus musculus OX=10090 GN=Prl7d1 PE=2 SV=1,PR7D1_MOUSE (+1),,28 kDa,,unknown,15,12,12,14,15,13.6
58,TRUE,Empty,Nucleoside diphosphate kinase OS=Mus musculus OX=10090 GN=Gm20390 PE=3 SV=1,E9PZF0_MOUSE,,30 kDa,TRUE,unknown,14,12,13,13,15,13.4
126,TRUE,Empty,Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2,DPYL2_MOUSE,,62 kDa,TRUE,unknown,24,21,15,22,21,20.6
163,TRUE,Empty,Plastin-2 OS=Mus musculus OX=10090 GN=Lcp1 PE=1 SV=4,PLSL_MOUSE,,70 kDa,TRUE,unknown,34,25,25,31,29,28.8
21,TRUE,Empty,CEA-related cell adhesion molecule 11 OS=Mus musculus OX=10090 GN=Ceacam11 PE=1 SV=1,Q9D0Z8_MOUSE,,34 kDa,TRUE,unknown,10,10,10,10,11,10.2
121,TRUE,Empty,Peroxiredoxin-6 OS=Mus musculus OX=10090 GN=Prdx6 PE=1 SV=1,Q6GT24_MOUSE,,25 kDa,,unknown,15,15,16,15,16,15.4
117,TRUE,Empty,Transaldolase OS=Mus musculus OX=10090 GN=Taldo1 PE=1 SV=1,A0A1B0GR11_MOUSE (+1),,42 kDa,,unknown,16,16,16,15,14,15.4
173,TRUE,Empty,Tubulin beta-5 chain OS=Mus musculus OX=10090 GN=Tubb5 PE=1 SV=1,TBB5_MOUSE,,50 kDa,TRUE,unknown,22,16,18,20,23,19.8
158,TRUE,Empty,"Malate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Mdh2 PE=1 SV=3",MDHM_MOUSE,,36 kDa,,unknown,15,15,15,15,15,15
119,TRUE,Empty,Transketolase OS=Mus musculus OX=10090 GN=Tkt PE=1 SV=1,TKT_MOUSE,,68 kDa,,unknown,27,24,17,24,23,23
127,TRUE,Empty,Cathepsin D OS=Mus musculus OX=10090 GN=Ctsd PE=1 SV=1,CATD_MOUSE,,45 kDa,TRUE,unknown,17,16,17,16,15,16.2
164,TRUE,Empty,Neutral alpha-glucosidase AB OS=Mus musculus OX=10090 GN=Ganab PE=1 SV=1,sp|Q8BHN3|GANAB_MOUSE,,107 kDa,,unknown,31,27,22,28,29,27.4
108,TRUE,Empty,Prolactin-7B1 OS=Mus musculus OX=10090 GN=Prl7b1 PE=2 SV=2,PR7B1_MOUSE,,29 kDa,,unknown,8,6,6,6,8,6.8
90,TRUE,Empty,Protein disulfide-isomerase A6 OS=Mus musculus OX=10090 GN=Pdia6 PE=1 SV=1,Q3TML0_MOUSE,,49 kDa,TRUE,unknown,14,16,9,14,15,13.6
178,TRUE,Empty,Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2,A2MG_MOUSE,,164 kDa,TRUE,unknown,25,20,22,25,30,24.4
95,TRUE,Empty,Protein CTLA-2-alpha OS=Mus musculus OX=10090 GN=Ctla2a PE=2 SV=2,CTL2A_MOUSE,,16 kDa,,unknown,9,9,9,9,10,9.2
125,TRUE,Empty,Tubulin alpha-1C chain OS=Mus musculus OX=10090 GN=Tuba1c PE=1 SV=1,TBA1C_MOUSE,,50 kDa,TRUE,unknown,16,15,14,15,15,15
154,TRUE,Empty,Cofilin-1 OS=Mus musculus OX=10090 GN=Cfl1 PE=1 SV=3,COF1_MOUSE,,19 kDa,TRUE,unknown,15,15,13,16,16,15
157,TRUE,Empty,Thrombospondin-2 OS=Mus musculus OX=10090 GN=Thbs2 PE=1 SV=2,TSP2_MOUSE,,130 kDa,TRUE,unknown,24,23,16,28,21,22.4
103,TRUE,Empty,Heat shock protein HSP 90-alpha OS=Mus musculus OX=10090 GN=Hsp90aa1 PE=1 SV=4,HS90A_MOUSE,,85 kDa,TRUE,unknown,17,17,14,13,18,15.8
145,TRUE,Empty,MCG118061 OS=Mus musculus OX=10090 GN=Serpinb9g PE=2 SV=1,Q8VHQ1_MOUSE,,43 kDa,TRUE,unknown,17,12,10,15,14,13.6
66,TRUE,Empty,Isoform 2 of Prolactin-2C5 OS=Mus musculus OX=10090 GN=Prl2c5,sp|Q9JLV9-2|PR2C5_MOUSE (+1),,26 kDa,TRUE,unknown,9,8,8,9,10,8.8
135,TRUE,Empty,Transgelin-2 OS=Mus musculus OX=10090 GN=Tagln2 PE=1 SV=4,TAGL2_MOUSE,,22 kDa,,unknown,15,13,13,15,13,13.8
144,TRUE,Empty,Carboxypeptidase E OS=Mus musculus OX=10090 GN=Cpe PE=1 SV=2,CBPE_MOUSE,,53 kDa,,unknown,18,14,14,18,18,16.4
81,TRUE,Empty,Decidual/trophoblast prolactin-related protein OS=Mus musculus OX=10090 GN=Prl8a2 PE=1 SV=1,O35258_MOUSE (+1),,28 kDa,,unknown,9,7,8,8,8,8
134,TRUE,Empty,Galectin-3-binding protein OS=Mus musculus OX=10090 GN=Lgals3bp PE=1 SV=1,LG3BP_MOUSE,,64 kDa,,unknown,16,17,17,20,15,17
60,TRUE,Empty,Carcinoembryonic antigen-related cell adhesion molecule 12 OS=Mus musculus OX=10090 GN=Ceacam12 PE=2 SV=1,Q3UKP4_MOUSE,,34 kDa,,unknown,10,7,6,9,10,8.4
120,TRUE,Empty,Triosephosphate isomerase OS=Mus musculus OX=10090 GN=Tpi1 PE=1 SV=4,TPIS_MOUSE,,32 kDa,,unknown,12,12,12,13,12,12.2
32,TRUE,Empty,Pregnancy-specific glycoprotein 27 OS=Mus musculus OX=10090 GN=Psg27 PE=1 SV=1,Q497W2_MOUSE,,54 kDa,TRUE,unknown,15,15,13,14,15,14.4
170,TRUE,Empty,R86 OS=Mus musculus OX=10090 GN=Serpinb9b PE=1 SV=1,Q9DAV6_MOUSE,,43 kDa,TRUE,unknown,17,14,14,18,19,16.4
142,TRUE,Empty,Peroxiredoxin-2 OS=Mus musculus OX=10090 GN=Prdx2 PE=1 SV=3,PRDX2_MOUSE,,22 kDa,,unknown,10,11,9,9,10,9.8
91,TRUE,Empty,Profilin-1 OS=Mus musculus OX=10090 GN=Pfn1 PE=1 SV=2,PROF1_MOUSE,,15 kDa,,unknown,10,9,10,10,10,9.8
139,TRUE,Empty,Connective tissue growth factor OS=Mus musculus OX=10090 GN=Ctgf PE=2 SV=3,CTGF_MOUSE,,38 kDa,,unknown,16,14,16,17,17,16
181,TRUE,Empty,Nicotinamide phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Nampt PE=1 SV=1,NAMPT_MOUSE,,55 kDa,,unknown,21,17,14,18,18,17.6
383,TRUE,Empty,"Histidine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Hars PE=1 SV=2",SYHC_MOUSE,,57 kDa,TRUE,unknown,11,11,7,11,11,10.2
207,TRUE,Empty,Tropomyosin alpha-4 chain OS=Mus musculus OX=10090 GN=Tpm4 PE=1 SV=3,TPM4_MOUSE,,28 kDa,TRUE,unknown,16,15,14,13,15,14.6
93,TRUE,Empty,Ferritin OS=Mus musculus OX=10090 GN=Ftl1 PE=1 SV=1,Q9CPX4_MOUSE,,21 kDa,,unknown,11,13,10,11,10,11
171,TRUE,Empty,Insulin-like growth factor-binding protein 7 OS=Mus musculus OX=10090 GN=Igfbp7 PE=1 SV=1,F8WH23_MOUSE (+1),,29 kDa,,unknown,15,15,15,13,16,14.8
259,TRUE,Empty,Heat shock 70 kDa protein 4 OS=Mus musculus OX=10090 GN=Hspa4 PE=1 SV=1,Q3U2G2_MOUSE,,94 kDa,TRUE,unknown,21,19,16,26,23,21
131,TRUE,Empty,Galectin-3 OS=Mus musculus OX=10090 GN=Lgals3 PE=1 SV=3,LEG3_MOUSE (+1),,28 kDa,,unknown,9,8,7,9,8,8.2
199,TRUE,Empty,Hypoxia up-regulated protein 1 OS=Mus musculus OX=10090 GN=Hyou1 PE=1 SV=1,HYOU1_MOUSE,,111 kDa,,unknown,27,21,13,26,23,22
179,TRUE,Empty,Testin-2 OS=Mus musculus OX=10090 PE=2 SV=1,TEST2_MOUSE,,38 kDa,,unknown,13,10,12,13,12,12
48,TRUE,Empty,Histone H4 OS=Mus musculus OX=10090 GN=Hist1h4a PE=1 SV=2,H4_MOUSE,,11 kDa,,unknown,8,7,7,7,9,7.6
100,TRUE,Empty,CEA-related cell adhesion molecule 14 OS=Mus musculus OX=10090 GN=Ceacam14 PE=1 SV=1,Q78Y72_MOUSE,,29 kDa,TRUE,unknown,10,9,6,9,8,8.4
185,TRUE,Empty,Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus OX=10090 GN=Tgm2 PE=1 SV=4,TGM2_MOUSE,,77 kDa,,unknown,21,21,14,21,19,19.2
123,TRUE,Empty,Rho GDP-dissociation inhibitor 1 OS=Mus musculus OX=10090 GN=Arhgdia PE=1 SV=3,GDIR1_MOUSE,,23 kDa,,unknown,10,9,9,9,9,9.2
168,TRUE,Empty,Collagen alpha-2(I) chain OS=Mus musculus OX=10090 GN=Col1a2 PE=1 SV=2,CO1A2_MOUSE,,130 kDa,,unknown,9,9,9,11,10,9.6
114,TRUE,Empty,Protein CREG1 OS=Mus musculus OX=10090 GN=Creg1 PE=1 SV=1,CREG1_MOUSE,,24 kDa,,unknown,6,6,3,7,5,5.4
72,TRUE,Empty,Prolactin-2B1 OS=Mus musculus OX=10090 GN=Prl2b1 PE=2 SV=1,PR2B1_MOUSE,,26 kDa,,unknown,11,11,9,11,11,10.6
195,TRUE,Empty,Proteasome subunit alpha type-1 OS=Mus musculus OX=10090 GN=Psma1 PE=1 SV=1,PSA1_MOUSE,,30 kDa,,unknown,17,16,11,17,17,15.6
