"Accession.New","MouseGeneName","Description","Accession.Number","Sample1","Sample2","Sample3","Sample4","Sample5","ProteinID"
"ACOT2_MOUSE","Acot2","Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus OX=10090 GN=Acot2 PE=1 SV=2","ACOT2_MOUSE",7,6,0,4,7,"Q9QYR9"
"ACTB_MOUSE","Actb","Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1","ACTB_MOUSE (+1)",18,18,15,17,18,"P60710"
"ACTC_MOUSE","Actc1","Actin, alpha cardiac muscle 1 OS=Mus musculus OX=10090 GN=Actc1 PE=1 SV=1","ACTC_MOUSE",2,3,0,3,2,"P68033"
"ACTN1_MOUSE","Actn1","Alpha-actinin-1 OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1","ACTN1_MOUSE",25,31,25,34,28,"Q7TPR4"
"ACTN4_MOUSE","Actn4","Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1","ACTN4_MOUSE",52,43,40,49,50,"P57780"
"ACTY_MOUSE","Actr1b","Beta-centractin OS=Mus musculus OX=10090 GN=Actr1b PE=1 SV=1","ACTY_MOUSE",3,2,2,0,3,"Q8R5C5"
"ACYP1_MOUSE","Acyp1","Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2","ACYP1_MOUSE (+1)",2,3,0,3,2,"P56376"
"ADA_MOUSE","Ada","Adenosine deaminase OS=Mus musculus OX=10090 GN=Ada PE=1 SV=3","ADA_MOUSE",19,19,17,18,19,"P03958"
"ADHX_MOUSE","Adh5","Alcohol dehydrogenase class-3 OS=Mus musculus OX=10090 GN=Adh5 PE=1 SV=3","ADHX_MOUSE",5,4,3,5,6,"P28474"
"AEBP1_MOUSE","Aebp1","Adipocyte enhancer-binding protein 1 OS=Mus musculus OX=10090 GN=Aebp1 PE=1 SV=1","sp|Q640N1|AEBP1_MOUSE",15,9,11,17,13,"Q640N1"
"AGM1_MOUSE","Pgm3","Phosphoacetylglucosamine mutase OS=Mus musculus OX=10090 GN=Pgm3 PE=1 SV=1","AGM1_MOUSE (+1)",5,4,2,7,5,"Q9CYR6"
"AHSA1_MOUSE","Ahsa1","Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus OX=10090 GN=Ahsa1 PE=1 SV=2","AHSA1_MOUSE",6,3,2,4,5,"Q8BK64"
"AIF1L_MOUSE","Aif1l","Allograft inflammatory factor 1-like OS=Mus musculus OX=10090 GN=Aif1l PE=1 SV=1","AIF1L_MOUSE",4,3,2,2,3,"Q9EQX4"
"AIFM1_MOUSE","Aifm1","Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus OX=10090 GN=Aifm1 PE=1 SV=1","AIFM1_MOUSE",2,2,0,2,3,"Q9Z0X1"
"AIMP1_MOUSE","Aimp1","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus OX=10090 GN=Aimp1 PE=1 SV=2","AIMP1_MOUSE",4,3,2,4,3,"P31230"
"AK1A1_MOUSE","Akr1a1","Alcohol dehydrogenase [NADP(+)] OS=Mus musculus OX=10090 GN=Akr1a1 PE=1 SV=3","AK1A1_MOUSE",11,9,11,12,9,"Q9JII6"
"AL1A3_MOUSE","Aldh1a3","Aldehyde dehydrogenase family 1 member A3 OS=Mus musculus OX=10090 GN=Aldh1a3 PE=1 SV=1","AL1A3_MOUSE",5,4,2,0,2,"Q9JHW9"
"AL7A1_MOUSE","Aldh7a1","Isoform 2 of Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh7a1","sp|Q9DBF1-2|AL7A1_MOUSE (+1)",7,0,2,6,8,"Q9DBF1"
"AL9A1_MOUSE","Aldh9a1","4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh9a1 PE=1 SV=1","AL9A1_MOUSE",9,7,5,9,8,"Q9JLJ2"
"ALBU_MOUSE","Alb","Serum albumin OS=Mus musculus OX=10090 GN=Alb PE=1 SV=3","ALBU_MOUSE",21,16,20,25,20,"P07724"
"ALDOA_MOUSE","Aldoa","Fructose-bisphosphate aldolase A OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=2","ALDOA_MOUSE",23,19,17,18,19,"P05064"
"ALDR_MOUSE","Akr1b1","Aldose reductase OS=Mus musculus OX=10090 GN=Akr1b1 PE=1 SV=3","ALDR_MOUSE",6,6,7,8,6,"P45376"
"AMPB_MOUSE","Rnpep","Aminopeptidase B OS=Mus musculus OX=10090 GN=Rnpep PE=1 SV=2","AMPB_MOUSE",3,2,0,2,2,"Q8VCT3"
"AMPL_MOUSE","Lap3","Isoform 2 of Cytosol aminopeptidase OS=Mus musculus OX=10090 GN=Lap3","sp|Q9CPY7-2|AMPL_MOUSE (+1)",11,10,8,12,7,"Q9CPY7"
"AMPN_MOUSE","Anpep","Aminopeptidase N OS=Mus musculus OX=10090 GN=Anpep PE=1 SV=4","AMPN_MOUSE",3,4,3,3,0,"P97449"
"AN32B_MOUSE","Anp32b","Isoform 2 of Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Mus musculus OX=10090 GN=Anp32b","sp|Q9EST5-2|AN32B_MOUSE (+1)",3,6,2,5,5,"Q9EST5"
"ANGL2_MOUSE","Angptl2","Angiopoietin-related protein 2 OS=Mus musculus OX=10090 GN=Angptl2 PE=2 SV=2","ANGL2_MOUSE",5,0,3,7,4,"Q9R045"
"ANGP2_MOUSE","Angpt2","Angiopoietin-2 OS=Mus musculus OX=10090 GN=Angpt2 PE=2 SV=2","ANGP2_MOUSE",3,3,0,4,6,"O35608"
"ANT3_MOUSE","Serpinc1","Antithrombin-III OS=Mus musculus OX=10090 GN=Serpinc1 PE=1 SV=1","ANT3_MOUSE",5,4,5,4,3,"P32261"
"ANXA1_MOUSE","Anxa1","Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2","ANXA1_MOUSE",8,5,5,7,10,"P10107"
"ANXA2_MOUSE","Anxa2","Annexin A2 OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=2","ANXA2_MOUSE",12,9,9,12,12,"P07356"
"ANXA5_MOUSE","Anxa5","Annexin A5 OS=Mus musculus OX=10090 GN=Anxa5 PE=1 SV=1","ANXA5_MOUSE",8,7,5,5,5,"P48036"
"AOC1_MOUSE","Aoc1","Amiloride-sensitive amine oxidase [copper-containing] OS=Mus musculus OX=10090 GN=Aoc1 PE=2 SV=1","AOC1_MOUSE (+1)",6,4,4,7,6,"Q8JZQ5"
"AP1B1_MOUSE","Ap1b1","AP-1 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap1b1 PE=1 SV=2","AP1B1_MOUSE (+2)",10,5,2,5,7,"O35643"
"AP1G1_MOUSE","Ap1g1","AP-1 complex subunit gamma-1 OS=Mus musculus OX=10090 GN=Ap1g1 PE=1 SV=3","AP1G1_MOUSE (+1)",4,3,2,5,5,"P22892"
"AP1M1_MOUSE","Ap1m1","AP-1 complex subunit mu-1 OS=Mus musculus OX=10090 GN=Ap1m1 PE=1 SV=3","AP1M1_MOUSE",8,5,0,5,8,"P35585"
"AP2A1_MOUSE","Ap2a1","Isoform B of AP-2 complex subunit alpha-1 OS=Mus musculus OX=10090 GN=Ap2a1","sp|P17426-2|AP2A1_MOUSE (+1)",6,4,0,4,7,"P17426"
"AP2A2_MOUSE","Ap2a2","AP-2 complex subunit alpha-2 OS=Mus musculus OX=10090 GN=Ap2a2 PE=1 SV=2","AP2A2_MOUSE",8,5,5,8,9,"P17427"
"AP2B1_MOUSE","Ap2b1","Isoform 2 of AP-2 complex subunit beta OS=Mus musculus OX=10090 GN=Ap2b1","sp|Q9DBG3-2|AP2B1_MOUSE (+1)",18,15,9,15,18,"Q9DBG3"
"APEX1_MOUSE","Apex1","DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2","APEX1_MOUSE",5,2,0,3,4,"P28352"
"APOA1_MOUSE","Apoa1","Apolipoprotein A-I OS=Mus musculus OX=10090 GN=Apoa1 PE=1 SV=2","APOA1_MOUSE",6,2,5,8,9,"Q00623"
"APOE_MOUSE","Apoe","Apolipoprotein E OS=Mus musculus OX=10090 GN=Apoe PE=1 SV=2","APOE_MOUSE",8,10,10,11,8,"P08226"
"APT_MOUSE","Aprt","Adenine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Aprt PE=1 SV=2","APT_MOUSE",3,5,4,5,3,"P08030"
"ARC1B_MOUSE","Arpc1b","Actin-related protein 2/3 complex subunit 1B OS=Mus musculus OX=10090 GN=Arpc1b PE=1 SV=4","ARC1B_MOUSE (+1)",10,8,5,11,8,"Q9WV32"
"ARF1_MOUSE","Arf1","ADP-ribosylation factor 1 OS=Mus musculus OX=10090 GN=Arf1 PE=1 SV=2","ARF1_MOUSE",6,6,5,4,8,"P84078"
"ARGI1_MOUSE","Arg1","Arginase-1 OS=Mus musculus OX=10090 GN=Arg1 PE=1 SV=1","ARGI1_MOUSE",6,4,9,6,0,"Q61176"
"ARLY_MOUSE","Asl","Argininosuccinate lyase OS=Mus musculus OX=10090 GN=Asl PE=1 SV=1","ARLY_MOUSE",6,3,0,7,4,"Q91YI0"
"ARP2_MOUSE","Actr2","Actin-related protein 2 OS=Mus musculus OX=10090 GN=Actr2 PE=1 SV=1","ARP2_MOUSE",10,9,5,10,9,"P61161"
