Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1,Coverage (%) Sample 2,Coverage (%) Sample 3,Coverage (%) Sample 4,Coverage (%) Sample 5,Area Sample 1,Area Sample 2,Area Sample 3,Area Sample 4,Area Sample 5,#Peptides,#Unique,#Spec Sample 1,#Spec Sample 2,#Spec Sample 3,#Spec Sample 4,#Spec Sample 5,PTM,Avg. Mass,Description
21,46,P99024|TBB5_MOUSE,443.26,79,70,71,74,68,64,2.11E+08,4.15E+08,1.23E+08,1.30E+08,1.49E+08,67,5,65,58,64,52,48,Carbamidomethylation; Deamidation (NQ),49671,Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1
24,45,P68372|TBB4B_MOUSE,442.12,79,67,71,67,67,64,,,4.42E+06,,,67,1,64,57,61,49,46,Carbamidomethylation; Deamidation (NQ),49831,Tubulin beta-4B chain OS=Mus musculus GN=Tubb4b PE=1 SV=1
51,27,Q9JKF1|IQGA1_MOUSE,442.05,50,37,26,25,26,32,2.59E+08,2.80E+08,1.20E+08,1.40E+08,2.19E+08,60,58,45,36,32,33,40,Carbamidomethylation; Deamidation (NQ),188741,Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2
41,37,Q9JHU4|DYHC1_MOUSE,439.8,25,17,9,13,13,14,1.49E+08,9.20E+07,8.97E+07,1.34E+08,1.47E+08,84,83,59,28,42,44,44,Carbamidomethylation; Deamidation (NQ),532050,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2
27,51,Q9D6F9|TBB4A_MOUSE,433.76,73,62,63,60,60,63,,,,,0.00E+00,61,1,58,52,57,44,42,Carbamidomethylation; Deamidation (NQ),49586,Tubulin beta-4A chain OS=Mus musculus GN=Tubb4a PE=1 SV=3
6,157,P10126|EF1A1_MOUSE,433.28,56,52,54,52,53,56,1.18E+09,1.17E+09,4.58E+08,3.63E+08,9.28E+08,65,49,78,87,108,107,140,Carbamidomethylation; Oxidation (M); Deamidation (NQ),50114,Elongation factor 1-alpha 1 OS=Mus musculus GN=Eef1a1 PE=1 SV=3
33,159,P14211|CALR_MOUSE,432.16,70,67,59,66,62,62,9.74E+08,1.32E+09,6.67E+08,9.76E+08,1.29E+09,48,48,45,43,50,45,51,Carbamidomethylation; Oxidation (M); Deamidation (NQ),47995,Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1
17,55,P09103|PDIA1_MOUSE,432.05,66,49,59,53,51,52,1.01E+09,9.40E+08,4.22E+08,6.28E+08,6.07E+08,58,58,58,71,45,54,65,Carbamidomethylation; Oxidation (M); Deamidation (NQ),57059,Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2
52,39,Q9QXS1|PLEC_MOUSE,431.7,20,14,9,12,9,11,1.88E+08,7.15E+07,9.16E+07,1.06E+08,1.55E+08,70,67,48,26,40,31,39,Carbamidomethylation; Deamidation (NQ),534193,Plectin OS=Mus musculus GN=Plec PE=1 SV=3
12,14,P20029|GRP78_MOUSE,428.4,62,55,55,57,51,55,1.18E+09,2.33E+09,7.45E+08,8.69E+08,1.36E+09,59,55,63,89,61,58,76,Carbamidomethylation; Oxidation (M); Deamidation (NQ),72422,78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3
36,9,Q7TPR4|ACTN1_MOUSE,424.39,68,57,41,48,36,44,2.82E+08,1.83E+08,1.10E+08,1.55E+08,1.83E+08,62,37,54,43,44,38,44,Carbamidomethylation; Deamidation (NQ),103068,Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1
9,8,P20152|VIME_MOUSE,423.23,72,60,55,59,67,57,1.60E+09,1.59E+09,7.92E+08,1.30E+09,1.04E+09,62,53,56,119,58,73,83,Carbamidomethylation; Deamidation (NQ),53688,Vimentin OS=Mus musculus GN=Vim PE=1 SV=3
16,77,P31001|DESM_MOUSE,417.51,57,50,54,51,46,53,1.21E+09,1.24E+09,8.85E+08,1.04E+09,1.51E+09,54,47,43,60,64,50,78,Carbamidomethylation; Deamidation (NQ),53498,Desmin OS=Mus musculus GN=Des PE=1 SV=3
38,50,P52480|KPYM_MOUSE,416.41,67,56,54,52,57,56,5.80E+08,5.25E+08,2.72E+08,4.07E+08,4.27E+08,52,50,47,48,43,42,41,Carbamidomethylation; Deamidation (NQ),57845,Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4
10,7,P63017|HSP7C_MOUSE,415.74,72,61,58,57,58,66,7.06E+08,7.42E+08,3.51E+08,5.72E+08,6.19E+08,68,42,82,80,60,69,77,Carbamidomethylation; Deamidation (NQ),70871,Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1
39,75,P68368|TBA4A_MOUSE,415.15,66,54,45,58,60,61,,,,,5.42E+05,60,1,33,32,43,55,58,Carbamidomethylation; Oxidation (M); Deamidation (NQ),49924,Tubulin alpha-4A chain OS=Mus musculus GN=Tuba4a PE=1 SV=1
18,20,P58252|EF2_MOUSE,413.1,60,55,48,46,44,47,4.61E+08,4.50E+08,2.51E+08,4.40E+08,5.09E+08,59,59,58,59,48,54,72,Carbamidomethylation; Deamidation (NQ),95314,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2
48,17,P21981|TGM2_MOUSE,413.08,62,55,43,50,49,53,1.97E+08,3.48E+08,1.82E+08,2.01E+08,2.73E+08,49,49,28,40,37,37,47,Carbamidomethylation; Deamidation (NQ),77061,Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus GN=Tgm2 PE=1 SV=4
35,91,P05784|K1C18_MOUSE,412.74,62,52,53,57,50,51,7.22E+08,1.36E+09,6.71E+08,5.44E+08,6.13E+08,36,33,34,71,54,36,36,Oxidation (M); Deamidation (NQ),47538,Keratin  type I cytoskeletal 18 OS=Mus musculus GN=Krt18 PE=1 SV=5
85,34,P16546|SPTN1_MOUSE,411.24,28,17,13,9,15,14,8.13E+07,3.78E+07,2.96E+07,6.68E+07,5.01E+07,42,41,24,20,11,24,23,,284596,Spectrin alpha chain  non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=4
29,47,Q9CWF2|TBB2B_MOUSE,410.76,76,64,66,59,61,54,2.34E+07,3.82E+07,2.88E+06,1.35E+07,2.16E+07,59,4,58,53,56,40,35,Carbamidomethylation; Deamidation (NQ),49953,Tubulin beta-2B chain OS=Mus musculus GN=Tubb2b PE=1 SV=1
31,18,P11499|HS90B_MOUSE,410.51,59,51,42,54,47,48,6.44E+08,5.45E+08,3.98E+08,5.04E+08,4.39E+08,58,36,54,35,44,53,50,Carbamidomethylation; Oxidation (M); Deamidation (NQ),83281,Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3
30,25,P08113|ENPL_MOUSE,410.47,52,46,46,45,39,39,4.82E+08,7.82E+08,3.81E+08,6.56E+08,6.31E+08,51,48,50,48,48,51,43,Carbamidomethylation; Deamidation (NQ),92476,Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2
11,204,P16858|G3P_MOUSE,410.2,69,68,65,68,63,60,1.27E+09,1.18E+09,1.32E+09,6.40E+08,1.16E+09,48,48,72,73,75,55,93,Carbamidomethylation; Oxidation (M); Deamidation (NQ),35810,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2
53,15,P57780|ACTN4_MOUSE,408.45,59,45,41,40,38,38,1.13E+08,1.48E+08,8.43E+07,1.50E+08,1.17E+08,55,29,36,40,36,38,35,Carbamidomethylation; Oxidation (M); Deamidation (NQ),104977,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1
47,110,P19324|SERPH_MOUSE,404.03,58,53,48,50,48,47,6.70E+08,6.45E+08,2.92E+08,6.04E+08,4.80E+08,46,46,42,37,33,40,37,,46534,Serpin H1 OS=Mus musculus GN=Serpinh1 PE=1 SV=3
28,71,P63268|ACTH_MOUSE,402.69,75,51,48,51,65,65,,,,7.06E+06,9.80E+06,57,2,45,46,47,55,57,Carbamidomethylation; Oxidation (M); Deamidation (NQ),41877,Actin  gamma-enteric smooth muscle OS=Mus musculus GN=Actg2 PE=1 SV=1
46,21,P07901|HS90A_MOUSE,400.02,57,47,33,44,37,43,3.83E+08,3.84E+08,1.34E+08,1.37E+08,2.31E+08,53,34,45,35,40,36,41,Carbamidomethylation; Oxidation (M); Deamidation (NQ),84788,Heat shock protein HSP 90-alpha OS=Mus musculus GN=Hsp90aa1 PE=1 SV=4
45,49,P56480|ATPB_MOUSE,399.64,74,70,57,60,57,68,5.04E+08,5.39E+08,3.05E+08,4.83E+08,4.97E+08,42,42,42,40,35,36,50,Deamidation (NQ),56301,ATP synthase subunit beta  mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2
57,12,Q01853|TERA_MOUSE,398.24,59,47,41,39,42,43,2.58E+08,2.80E+08,1.36E+08,2.05E+08,2.66E+08,47,45,34,32,29,34,39,Carbamidomethylation; Deamidation (NQ),89322,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4
81,41,Q61554|FBN1_MOUSE,393.02,23,19,11,12,3,5,1.93E+08,1.61E+08,8.92E+07,2.17E+07,3.47E+07,38,35,38,25,24,7,12,Carbamidomethylation; Oxidation (M); Deamidation (NQ),312298,Fibrillin-1 OS=Mus musculus GN=Fbn1 PE=1 SV=2
50,52,P63038|CH60_MOUSE,392.22,65,52,57,52,51,58,3.30E+08,4.24E+08,1.93E+08,2.39E+08,2.81E+08,35,35,33,41,35,36,42,Carbamidomethylation; Deamidation (NQ),60956,60 kDa heat shock protein  mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1
42,53,P11679|K2C8_MOUSE,391.37,64,52,53,50,44,48,9.55E+08,1.64E+09,7.83E+08,3.35E+08,7.27E+08,53,48,32,73,37,29,39,Deamidation (NQ),54565,Keratin  type II cytoskeletal 8 OS=Mus musculus GN=Krt8 PE=1 SV=4
73,6,O08553|DPYL2_MOUSE,389.62,74,60,53,58,45,67,1.25E+08,1.27E+08,1.42E+08,1.12E+08,2.36E+08,32,28,21,20,26,19,30,Carbamidomethylation; Deamidation (NQ),62278,Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2
103,60,P13020|GELS_MOUSE,383.47,56,34,21,37,29,34,1.00E+08,5.72E+07,5.22E+07,1.06E+08,1.28E+08,32,32,23,10,15,18,21,Carbamidomethylation; Deamidation (NQ),85942,Gelsolin OS=Mus musculus GN=Gsn PE=1 SV=3
65,54,Q03265|ATPA_MOUSE,379.11,65,49,43,44,33,36,5.89E+08,6.68E+08,2.07E+08,4.21E+08,3.89E+08,41,41,28,29,28,27,28,Carbamidomethylation; Deamidation (NQ),59753,ATP synthase subunit alpha  mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1
49,58,P27773|PDIA3_MOUSE,379.04,56,46,44,40,47,49,5.69E+08,6.64E+08,2.32E+08,4.83E+08,6.26E+08,45,45,39,38,29,39,43,Carbamidomethylation; Deamidation (NQ),56678,Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2
43,144,P17182|ENOA_MOUSE,373.03,61,53,45,44,49,47,5.17E+08,6.25E+08,2.03E+08,2.30E+08,4.70E+08,36,36,29,47,38,44,52,Carbamidomethylation; Deamidation (NQ),47141,Alpha-enolase OS=Mus musculus GN=Eno1 PE=1 SV=3
70,38,Q8VHX6|FLNC_MOUSE,372.92,24,12,15,11,14,15,6.06E+07,8.36E+07,3.04E+07,4.79E+07,7.92E+07,41,34,21,29,20,22,30,Carbamidomethylation; Deamidation (NQ),291117,Filamin-C OS=Mus musculus GN=Flnc PE=1 SV=3
102,36,Q61292|LAMB2_MOUSE,372.91,30,12,18,6,24,13,5.47E+07,1.28E+08,2.15E+07,1.34E+08,7.45E+07,37,35,14,23,7,29,14,Carbamidomethylation; Deamidation (NQ),196578,Laminin subunit beta-2 OS=Mus musculus GN=Lamb2 PE=1 SV=2
100,118,O88342|WDR1_MOUSE,371.46,56,42,37,44,34,53,1.77E+08,1.38E+08,1.40E+08,1.26E+08,1.62E+08,23,23,20,12,19,15,22,Carbamidomethylation,66407,WD repeat-containing protein 1 OS=Mus musculus GN=Wdr1 PE=1 SV=3
55,173,P07356|ANXA2_MOUSE,370.29,63,55,55,54,47,55,5.58E+08,5.72E+08,3.15E+08,3.59E+08,3.98E+08,40,40,37,37,37,30,40,Carbamidomethylation; Deamidation (NQ),38676,Annexin A2 OS=Mus musculus GN=Anxa2 PE=1 SV=2
71,35,Q61879|MYH10_MOUSE,370.1,28,19,15,13,15,15,4.27E+07,6.74E+07,1.46E+07,2.93E+07,3.95E+07,44,24,27,24,19,24,24,Carbamidomethylation; Deamidation (NQ),228994,Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2
129,65,Q61316|HSP74_MOUSE,368,42,33,24,23,21,20,8.76E+07,7.36E+07,4.43E+07,7.02E+07,5.36E+07,25,25,22,15,15,11,12,Carbamidomethylation; Deamidation (NQ),94133,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1
79,117,P48036|ANXA5_MOUSE,366.11,67,63,57,55,49,49,2.77E+08,2.28E+08,1.91E+08,1.23E+08,1.25E+08,33,33,25,28,20,18,19,Carbamidomethylation; Deamidation (NQ),35752,Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1
59,475,P01942|HBA_MOUSE,364.89,79,79,66,63,79,78,2.63E+08,1.03E+09,1.48E+08,2.09E+09,2.29E+09,43,39,17,26,10,53,55,Carbamidomethylation,15085,Hemoglobin subunit alpha OS=Mus musculus GN=Hba PE=1 SV=2
69,76,P35564|CALX_MOUSE,364.1,59,36,31,44,43,32,1.84E+08,2.01E+08,1.15E+08,1.67E+08,1.99E+08,35,35,22,22,23,22,33,Carbamidomethylation; Deamidation (NQ),67278,Calnexin OS=Mus musculus GN=Canx PE=1 SV=1
84,227,Q922R8|PDIA6_MOUSE,363.5,46,43,43,42,37,46,2.60E+08,4.01E+08,1.72E+08,1.96E+08,3.49E+08,20,20,21,27,16,17,24,Carbamidomethylation; Deamidation (NQ),48100,Protein disulfide-isomerase A6 OS=Mus musculus GN=Pdia6 PE=1 SV=3
96,40,Q62261|SPTB2_MOUSE,362.79,23,14,11,9,10,10,7.18E+07,8.91E+07,2.57E+07,4.57E+07,7.25E+07,37,36,23,19,15,17,18,Carbamidomethylation; Deamidation (NQ),274221,Spectrin beta chain  non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2
151,160,Q8VEK3|HNRPU_MOUSE,362.74,37,27,29,19,15,18,1.34E+08,1.29E+08,6.76E+07,4.76E+07,9.80E+07,22,22,21,14,12,9,10,Carbamidomethylation; Deamidation (NQ),87918,Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus GN=Hnrnpu PE=1 SV=1
60,19,Q64727|VINC_MOUSE,359.83,50,36,34,31,38,31,2.70E+08,3.45E+08,1.21E+08,2.61E+08,3.21E+08,37,37,32,33,26,35,30,Carbamidomethylation; Deamidation (NQ),116717,Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4
58,135,Q922F4|TBB6_MOUSE,356.59,55,41,40,43,39,32,1.26E+07,1.29E+06,7.90E+06,7.08E+06,1.42E+06,41,5,39,34,43,28,22,Carbamidomethylation; Deamidation (NQ),50090,Tubulin beta-6 chain OS=Mus musculus GN=Tubb6 PE=1 SV=1
231,103,Q05793|PGBM_MOUSE,355.71,10,8,5,4,5,2,6.19E+07,3.36E+07,1.09E+07,2.33E+07,6.45E+06,23,23,15,9,8,11,5,Carbamidomethylation; Deamidation (NQ),398295,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1
83,119,Q9DBG6|RPN2_MOUSE,355.6,47,34,34,33,39,35,9.98E+07,1.16E+08,6.46E+07,1.43E+08,8.56E+07,25,25,21,21,21,22,20,Deamidation (NQ),69063,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Mus musculus GN=Rpn2 PE=1 SV=1
114,33,Q7TPV4|MBB1A_MOUSE,354.61,34,29,10,15,17,14,6.30E+07,1.83E+07,1.63E+07,3.37E+07,2.66E+07,26,26,24,12,13,15,16,Carbamidomethylation; Deamidation (NQ),152036,Myb-binding protein 1A OS=Mus musculus GN=Mybbp1a PE=1 SV=2
134,82,Q91VI7|RINI_MOUSE,353.81,71,51,48,51,37,42,7.26E+07,3.94E+07,3.64E+07,7.64E+07,4.69E+07,23,23,16,13,15,13,15,Carbamidomethylation; Deamidation (NQ),49817,Ribonuclease inhibitor OS=Mus musculus GN=Rnh1 PE=1 SV=1
91,26,Q9QZE5|COPG1_MOUSE,352.67,53,35,34,34,29,34,6.26E+07,3.57E+07,3.90E+07,6.08E+07,4.72E+07,30,27,22,18,18,19,21,Carbamidomethylation; Deamidation (NQ),97513,Coatomer subunit gamma-1 OS=Mus musculus GN=Copg1 PE=1 SV=1
44,187,Q8BFZ3|ACTBL_MOUSE,351.09,44,35,35,35,38,39,1.32E+08,1.49E+08,5.93E+07,1.54E+08,1.21E+08,34,4,42,46,35,39,46,Carbamidomethylation; Oxidation (M); Deamidation (NQ),42004,Beta-actin-like protein 2 OS=Mus musculus GN=Actbl2 PE=1 SV=1
141,201,P17225|PTBP1_MOUSE,351.04,50,49,38,31,27,42,1.22E+08,6.39E+07,4.97E+07,2.50E+07,4.81E+07,20,18,18,11,13,10,17,Carbamidomethylation; Deamidation (NQ),56478,Polypyrimidine tract-binding protein 1 OS=Mus musculus GN=Ptbp1 PE=1 SV=2
207,80,Q01149|CO1A2_MOUSE,349.97,29,15,22,4,16,16,2.46E+07,7.76E+07,2.26E+06,2.53E+07,4.53E+07,21,21,10,19,3,11,11,Carbamidomethylation; Deamidation (NQ),129557,Collagen alpha-2(I) chain OS=Mus musculus GN=Col1a2 PE=1 SV=2
62,95,Q8BMK4|CKAP4_MOUSE,349.35,48,41,42,41,34,33,3.35E+08,1.90E+08,1.64E+08,2.85E+08,1.78E+08,38,38,37,28,25,36,29,Deamidation (NQ),63692,Cytoskeleton-associated protein 4 OS=Mus musculus GN=Ckap4 PE=1 SV=2
68,30,Q02053|UBA1_MOUSE,348.42,39,33,21,27,27,25,1.38E+08,7.23E+07,5.36E+07,9.28E+07,9.60E+07,30,30,33,20,24,28,23,Carbamidomethylation; Deamidation (NQ),117809,Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1
86,154,P26041|MOES_MOUSE,348.15,37,33,29,34,31,27,1.01E+08,5.23E+07,4.88E+07,9.52E+07,1.01E+08,30,20,20,18,19,23,21,Carbamidomethylation; Deamidation (NQ),67767,Moesin OS=Mus musculus GN=Msn PE=1 SV=3
123,149,P68040|RACK1_MOUSE,348,80,68,60,68,32,36,3.28E+08,3.04E+08,1.66E+08,1.14E+08,1.68E+08,21,21,20,16,20,12,11,Carbamidomethylation; Oxidation (M); Deamidation (NQ),35077,Receptor of activated protein C kinase 1 OS=Mus musculus GN=Rack1 PE=1 SV=3
64,370,P02088|HBB1_MOUSE,347.46,71,59,71,52,65,71,2.03E+08,8.48E+08,5.40E+07,1.83E+09,1.84E+09,37,32,10,29,9,49,50,Carbamidomethylation; Oxidation (M); Deamidation (NQ),15840,Hemoglobin subunit beta-1 OS=Mus musculus GN=Hbb-b1 PE=1 SV=2
104,182,Q60932|VDAC1_MOUSE,346.98,70,59,58,39,55,59,2.09E+08,1.89E+08,1.56E+08,2.44E+08,2.33E+08,21,19,16,17,15,21,18,Carbamidomethylation; Deamidation (NQ),32351,Voltage-dependent anion-selective channel protein 1 OS=Mus musculus GN=Vdac1 PE=1 SV=3
67,125,P19001|K1C19_MOUSE,345.15,56,38,41,48,41,37,3.80E+08,5.10E+08,2.93E+08,2.38E+08,2.57E+08,26,23,19,32,33,25,26,Deamidation (NQ),44542,Keratin  type I cytoskeletal 19 OS=Mus musculus GN=Krt19 PE=1 SV=1
201,62,P26231|CTNA1_MOUSE,344.65,45,20,25,24,26,26,3.45E+07,5.52E+07,3.43E+07,3.41E+07,5.43E+07,24,21,10,10,11,13,11,Carbamidomethylation; Deamidation (NQ),100106,Catenin alpha-1 OS=Mus musculus GN=Ctnna1 PE=1 SV=1
78,73,Q61598|GDIB_MOUSE,343.93,67,56,51,51,42,42,9.01E+07,8.63E+07,4.74E+07,5.49E+07,7.14E+07,32,25,28,22,19,23,18,Carbamidomethylation; Deamidation (NQ),50537,Rab GDP dissociation inhibitor beta OS=Mus musculus GN=Gdi2 PE=1 SV=1
181,81,Q61001|LAMA5_MOUSE,343.6,9,4,5,3,7,4,2.65E+07,7.44E+07,3.52E+07,1.35E+08,3.95E+07,23,23,11,13,7,19,9,Deamidation (NQ),404056,Laminin subunit alpha-5 OS=Mus musculus GN=Lama5 PE=1 SV=4
90,56,P14824|ANXA6_MOUSE,343.5,48,41,35,34,34,34,1.51E+08,1.16E+08,4.22E+07,1.27E+08,1.11E+08,29,28,22,19,17,20,21,Carbamidomethylation; Deamidation (NQ),75885,Annexin A6 OS=Mus musculus GN=Anxa6 PE=1 SV=3
77,137,P10107|ANXA1_MOUSE,341.74,57,53,46,41,42,46,3.52E+08,3.08E+08,1.72E+08,2.41E+08,3.61E+08,23,23,26,24,17,19,24,Carbamidomethylation; Deamidation (NQ),38734,Annexin A1 OS=Mus musculus GN=Anxa1 PE=1 SV=2
63,74,P60843|IF4A1_MOUSE,340.81,69,69,41,66,53,59,1.12E+08,3.91E+07,6.55E+07,5.42E+07,4.35E+07,29,17,48,20,36,26,23,Carbamidomethylation; Oxidation (M); Deamidation (NQ),46154,Eukaryotic initiation factor 4A-I OS=Mus musculus GN=Eif4a1 PE=1 SV=1
87,131,Q9D964|GATM_MOUSE,340.55,61,55,29,55,45,56,2.22E+08,9.80E+07,1.78E+08,2.13E+08,2.74E+08,28,28,20,11,24,20,26,Carbamidomethylation; Oxidation (M),48297,Glycine amidinotransferase  mitochondrial OS=Mus musculus GN=Gatm PE=1 SV=1
76,92,Q9ERD7|TBB3_MOUSE,340.45,56,34,40,45,42,36,,3.08E+06,2.10E+06,2.82E+06,1.37E+06,36,2,22,22,19,28,23,Carbamidomethylation; Deamidation (NQ),50419,Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1
157,176,Q04447|KCRB_MOUSE,339.95,71,54,47,41,36,58,4.82E+07,8.35E+07,4.32E+07,2.39E+07,1.20E+08,22,22,13,15,9,8,19,Carbamidomethylation,42713,Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1
74,196,P05064|ALDOA_MOUSE,339.64,63,57,55,49,58,61,1.55E+08,1.86E+08,6.98E+07,2.00E+08,2.07E+08,24,21,22,20,21,23,29,Carbamidomethylation; Deamidation (NQ),39356,Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2
94,244,P35700|PRDX1_MOUSE,338.23,70,52,53,53,51,63,5.13E+08,2.46E+08,3.01E+08,4.03E+08,5.80E+08,26,22,20,19,14,17,26,Carbamidomethylation; Deamidation (NQ),22176,Peroxiredoxin-1 OS=Mus musculus GN=Prdx1 PE=1 SV=1
